Title;Authors;Corporate authors;Publishers;Abstract/Description;Link to the publication;Publicaton date (YYYY/MM);Language;Geographical focus;Copyright owner;Rwanda Land Category;Overarching Categories;Themes;Related Concepts;Data provider;Resource types;ID;Thumbnail
Fonctionnement des comités de conciliateurs (ABUNZI) au Rwanda: Perceptions, Observation et Analyse;;RCN Justice & Démocratie;RCN Justice & Démocratie;"RCN Justice & Démocratie monitored the activities of the Mediation Committees (Komite y’Abunzi) in Rwanda for eighteen months from 2009 to 2011 and presents in this report its main findings and analysis. Such feed?back from the field enables the formulation of recommendations which aim to improve and reinforce the Abunzi’s performance.
Capitalizing on a vibrant tradition and knowledge of conflict mediation in Rwanda, the Rwandan government institutionalized the Mediation Committees for the first time in 2004. To date, Rwanda has 2150 Mediation Committees active at cell level (one per entity) and 416 Mediation Committees at Sector level. According to the law, Committees must first seek to mediate between the parties in conflict; where this is not possible, the mediators must take a decision which can be enforced if one of the parties refuses to comply with it. Cell?level and Sector?level Mediation Committees constitute pre?juRwanda Initiative for Sustainable Development ictional conflict resolution institutions. They aim to provide the citizens a quick and free of charge access to justice and accordingly reduce the case load of the Primary Courts.
RCN Justice & Démocratie evaluated the perceptions of over 500 individuals and 80 citizens’ groups on the practices of the mediators, observed more than 150 mediation hearings, and interviewed several Abunzi, Executive secretaries (cell or sector level) and judges. The analysis focused on four main aspects of the Mediation Committees’ proceedings:
1. Context of the hearings: Our study revealed that the mediators generally commence the hearing of a case less than a month after it has been presented to them. Litigants are usually allowed to choose one of the three selected mediators. Explanations given by the mediators at the beginning of the hearing are in most cases incomplete.
2. Quality of the mediators’ performance: According to our study, only a minority of the mediators take an active part in the questioning. Abunzi tend to limit to a minimum the number of field visits they make as part of their investigation, a fact negatively perceived by the litigants. In 25% of the cases, public participation is not properly considered; parties and their witnesses are listened to unequally depending on their influence and socio?economic status within the community.
3. Mediators’ favoured approach: In only a little more than half of the cases do the mediators seek to mediate between the parties. Hence, disputes are settled by the means of mediation only one time in four. ‘Mediated’ parties believed more in the durability of the resolution. Yet, in 2011 (Repeat Baseline Study) still 58% of the respondents indicated a preference for the workings of the Primary Courts; the judges’ professionalism, mastering of modern laws and impartiality were recognized. In turn, Mediation committees were preferred to engaging local authorities. At the same time, knowledge of the local context is a necessity, according to the respondents.
4. Closing of the hearings: In over half of the cases where a decision is taken more mediators than the three appointed for the case take part in the deliberation. Decisions are not necessarily explained and justified to the participants. 25% of the interviewees complained to be given the minutes of the decision too late to file an appeal; some mediators illegally request from the parties different kinds of ‘compensation’. 81% of the parties who were declared ‘losers’ intended to appeal the Abunzi’s decision. However, statistics show that since appellate Mediation Committees were established at the Sectors’ level in June 2010, very few unresolved disputes reach the Primary Courts. The duration of some disputes in the overall process constitutes a real concern where citizens submit their cases to several successive and overlapping mediating institutions with no satisfying outcomes.";http://www.rcn-ong.be/IMG/pdf/310112_VOUT_RCN-J_D-Rapp-Monit-Abunzi-_pdf-2.pdf;2011/09;Français;Rwanda;RCN Justice & Démocratie;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 67;
Land Issues in the Rwanda’s Post-Conflict Law Reform;Geoffrey Payne;;Pretoria University Law Press;"Rwanda is a small, landlocked country with an area of 26,338 square kilometres, only 52% of which is used or developed. The country has a population of nearly ten million people, with a population growth rate of 3.1% and a high urbanisation rate of 8% a year. The average population density for the country as a whole has been estimated at 330 persons per km in 2002, making it one of the highest density levels in Africa. This stimulates a high demand for housing, especially in urban areas where 25,000 new dwelling units are said to be needed annually. Land is used intensively, and, while a formal market is expanding, most land continues to be held under customary tenure.
In Rwanda, the existence of the Napoleonic Civil Code offered formal legal titles, but these were only available in the towns and cities and in effect they were available only to those who made substantial investments in the land. This right was not accessible to the majority of ordinary Rwandans; with only 1% of the land registered, almost all of Rwanda’s land is still held under customary or local tenure. Successive waves of violence between 1959 and 1994 have weakened these informal structures. Population pressure, land scarcity and economic development are now increasing the demand for and hence the value of land. An active informal market in land has arisen to meet that demand. Customary tenure, such as it is, is no longer enough. As a result, all citizens are increasingly demanding access to formal systems to register their rights in land. In 2003, Government started a long process of consultation on land tenure. That revealed broad support for land tenure reform and led to the drafting of the National Land Policy (2004) and the enactment of the Organic Land Law (OLL) in 2005. In 2006, the Ministry of Land, Environment, Forestry, Water and Natural Resources (MINITERRE) carried out detailed field consultations in rural, urban and suburban settings. This was followed in 2007 by field trials that tested formal tenure regularisation procedures and processes that would lead to simple registration of land. These procedures were implemented by locally appointed committees and technicians to see how the population would respond to formal systems and what the practical difficulties would be in its implementation. The trials also served to ensure all of the issues were properly tested to inform the legal and institutional development process.2 After the successful trial of land registration, the Government of Rwanda introduced a roll out of land tenure regularisation countrywide and this programme is supposed to be completed within three years (2013). The sections below analyse this programme and how land related legislation is implemented. It also discusses the likely consequences and policy implications of the programme.";http://www.pulp.up.ac.za/pdf/2011_16/2011_16.pdf;2011;English;Rwanda;The World Bank Group;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 68;
The Abunzi Mediation in Rwanda: the Opportunity for Engaging with Traditional Institutions for Conflict Resolution;Martha Mutisi;;African Centre for the Constructive Resolution of Disputes;This Policy & Practice Brief analyses the role of traditional institutions for conflict resolution, paying special attention to their relevance in post-conflict societies. Using Rwanda’s abunzi mediation system as an example, the brief considers traditional African mechanisms for conflict resolution as unique, context-specific, and responsive to the justice needs of societies emerging from conflict. The brief draws attention to synergies between the modern and the traditional by highlighting how traditional institutions have sometimes complemented the state, which is often too overwhelmed and under-resourced to be able to offer timely and effective justice. The abunzi mediation is part of the Rwandan justice system, whose restorative approach helps people to address their conflicts without resorting to litigation and other retributive approaches. While acknowledging these benefits, the brief also highlights some challenges of the abunzi system, and particularly cautions against too much state oversight in community-driven conflict resolution processes. For true local ownership of justice, the brief advocates diminished state interference in the affairs and processes of the abunzi. The brief further makes recommendations on how to enhance the functionality and relevance of abunzi to the present day realities of the post-conflict state of Rwanda.;http://www.accord.org.za/publication/the-abunzi-mediation-in-rwanda/;2011/11;English;Rwanda;African Centre for the Constructive Resolution of Disputes;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 69;
La proximité de la justice : Rapport Socio-Juridique sur les Mode de Gestion de Conflits Foncier  ;Marco Lankhorst, Muriel Veldman;;RCN Justice & Démocratie;This study evaluates the level of access to justice and the quality of the justice rendered in Rwandese land dispute resolution and marks pathways to improvements in the benefits that those seeking justice may derive from the system. The analytical concept of proximity of justice provides the organising principle for our study and the present report. This notion distinguishes four different dimensions in which the level of access to and quality of justice can be measured: (1) timeliness (of decisions and the delays within which they can be enforced), distance (the geographical distance that has to be covered in seeking justice), (3) understanding (the extent to which those seeking justice understand the procedures followed and the decisions rendered), and (4) trust (the extent to which procedures and decisions correspond to their notions of justice and fairness, and are thus seen as legitimate). The focus in this report is on the quality of land dispute resolution in rural areas (as opposed to the cities), and specifically on the interventions of lower level administrative units, abunzi committees (somewhat akin to justices of the peace) and lower courts (tribunaux de base). This is because these institutions deal with and bring to an end the vast majority of land disputes that arise in the rural context.;http://www.rcn-ong.be/IMG/pdf/RW_tude_conflits_fonciers_2010_02.pdf;2009/06;Français;Global;RCN Justice & Démocratie;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 70;
Drawing a line under the crisis: Reconciling returnee land access and security in post-conflict Rwanda;John Wu Bruce;;Overseas Development Institute;"This report is part of a broader comparative effort by the Overseas Development Institute’s Humanitarian Policy Group on Land Tenure in Conflict and Post- Conflict Situations, which aims to inform and improve the policy and practice of humanitarian action and to inform related areas of international policy. It seeks to understand how land issues affect and are affected by violence and conflict resolution, what responses are appropriate and what lessons can be learned from specific contexts of land tenure interventions, both during and after conflict.
ODI selected Rwanda for one of the country studies because, as the project document suggests:
The experience of civil strife in Rwanda presents a stark example of the link between access to land and the precipitation of conflict ... It also provides an example of a situation where refugee and IDP resettlement, land claims and land reform were major features of the post- conflict setting.
As the author worked with colleagues in Rwanda, two other important dimensions of the Rwandan experience became clear. Refugee return and land access in Rwanda has been an extraordinarily complex matter, with some refugees leaving just in time for others returning to take up their homes and lands. Rwanda has important lessons to teach us about the need to maintain flexibility in dealing with complexity, and raises questions about whether obviously well-meant but very specific requirements in international conventions can be applied with full rigour in all cases. In addition, the Rwandan experience highlights the fact that conflict and post- conflict are not two ends of a simple spectrum, but overlap. Refugee return and economic reconstruction similarly overlap, and this creates challenges in framing policy and legal responses that address adequately the diverse claims and needs that arise.";https://www.odi.org/sites/odi.org.uk/files/odi-assets/publications-opinion-files/4174.pdf;2007/06;English;Rwanda;Overseas Development Institute;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 71;
A Thousand Hills for 9 Million People: Land Reform in Rwanda: Restoration of Feudal Order or Genuine Transformation?;Kathrin Wyss;;swisspeace;More than eleven years after the 1994 genocide, Rwanda might be an internally pacified, but by far not unified nation. There are different factors, which threaten the fragile social equilibrium. The issue of land is one of them. Land has long been a scarce and disputed resource in Rwanda. Ongoing shortages due to decreasing soil quality, growing population pressure and unequal distribution, as well as a lack of income generating alternatives beyond agriculture create an extremely precarious future to the national economy of the small, landlocked country. An all-embracing land reform based on a new land law and land policy is intended to remedy this situation. The main focus is on privatization and commercialization of land property. Yet, ongoing discrimination in the distribution of land, the growing concentration of large plots in the hands of political cronies as well as a tendency towards historical revisionism, raise doubts about the government’s true intentions. This impression becomes even more pertinent in relation to the de facto exclusion of civil society from the drafting process of the new land law and policy. Moreover – or as a result – neither the policy nor the law adequately guarantees the protection of the interests of large parts of the rural population. Local non-governmental stakeholders thus fear a further marginalization of discriminated groups and/or the establishment of a system following pre-colonial feudal rule. Today’s increasing disagreements over land property should be a warning sign that such a development would be anything but favorable to Rwanda’s reconciliation and the establishment of long-term peace in the country.;https://repositories.lib.utexas.edu/bitstream/handle/2152/4923/4029.pdf?sequence=1;2006/01;English;Rwanda;swisspeace;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 72;
Women’s Land Rights in Rwanda: How can they be protected and strengthened as the Land Law is implemented;Jennifer Brown and Justine Uvuza;;Landesa - Rural Development Institute;"The Landesa - Rural Development Institute (RDI) has been working on behalf of USAID on land law and policy issues in Rwanda since 2003. The main objective of this assistance has been to provide technical assistance to MINITERE on the drafting of laws and regulations to implement the Land Law. In order to help inform our technical assistance and to gain a better understanding of gender and land issues, RDI funded a short round of research on women’s land rights in April 2006. The costs of the research were greatly subsidized by USAID because the research was conducted as part of a trip that was otherwise funded by USAID. This research was conducted jointly by RDI staff attorney Jennifer Brown and Maître Justine Uvuza, a Rwandan lawyer who currently consults on gender and human rights and who formerly worked in the Ministry of Gender. This report describes their findings.
This research had several objectives. First, to directly inform the provision of RDI’s technical assistance in drafting the forthcoming complementary legislation and regulations to the Land Law. Second, to determine future needs, including more detailed research, policy discussion, possible legal amendments, and public education that may be needed to ensure that the Land Law is implemented in a gender sensitive manner. Third, to build a stronger dialogue between those creating land policy in Rwanda and Rwandan women. Finally, the study will also add to the broader corpus of information about women’s access and rights to land in Africa.
The keystone of this research was a series of focus group interviews with women in Butare, Kibungo, and Ruhengeri. In each location, groups of roughly 10-12 women were brought together to answer questions and discuss the present status of women’s land rights in Rwanda. The women participants were identified by a local contact and were selected to represent a wide rage of opinion and experience. Interviewees included young women, married women, separated women, women in polygamous relationships, widows, and orphans. They included both poor and middle class women, as well as women who grew up in Rwanda and those who returned to Rwanda after the genocide. In each case the women were asked a series of questions about their personal land rights and also about the typical land rights for women in their area. While a checklist of questions guided our discussion to ensure that major topics were covered with every group, the interviews were kept flexible to encourage the women to speak on topics of particular interest or importance to them. In addition to these focus group interviews, women’s group representatives in Kigali were also interviewed, including representatives from the National Women’s Council, Rwandan Women’s Network, Haguruka, the Beijing Secretariat, the Women’s Legal Rights Initiative, and Women Waging Peace.";http://www.Landesa - Rural Development Institute.org/wp-content/uploads/2011/01/RDI_123.pdf;2006/09;English;Rwanda;Landesa - Rural Development Institute;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 73;
Human Capital, Natural Resource Scarcity, and the Rwandan Genocide;Robert M. McNab, Abdul Latif Mohamed;;Small Wars & Insurgencies;Many authors contend that ethnic extremism coupled with political manipulation were the primary factors behind the Rwandan genocide. Yet, to oversimplify the cause of this tragedy makes one blind to the complicated nexus that generated the outcome. Even though this genocide was quick in its execution, the events that lead to this massacre took years to unfold. We argue that the evolution of human capital and the competition for scarce resources contributed to the genocide.;http://www.tandfonline.com/doi/abs/10.1080/09592310600672842;2006;English;Rwanda;Taylor & Francis Online;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 74;
Conflict in the Great Lakes Region - how is it linked with land and migration;Chris Huggins, Herman Musahara, Prisca Mbura Kamungi, Johnstone Summit Oketch, Koen Vlassenroot;;Overseas Development Institute;"Africa’s Great Lakes Region has in recent years experienced political strife, armed conflict and population displacements with severe humanitarian consequences. While these events have clearly revolved around political struggles for the control of the state, recent research has pointed to the significance of access to renewable natural resources as structural causes and sustaining factors in struggles for power in the region. Contested rights to land and natural resources are significant, particularly in light of land scarcity in many areas and the frequency of population movements.
Whilst there is a growing literature on the so-called ‘resource curse’ – i.e. the potential for abundant natural resources to hamper sustainable development (Collier and Hoeffler, 2001; Le Billon, 2001), this paper belongs to a smaller literature assessing the role of claims over primarily agricultural land in fomenting or sustaining conflict. It summarises the findings of studies led by ACTS in Rwanda (focusing on the potential contribution of the new land policy to national stability), in Burundi (in relation to the return of refugees and the resettlement of internally displaced persons (IDPs)), and in the Democratic Republic of Congo (DRC) (the role of land in conflict). Methods included fieldwork in the three countries, interviews with refugees in Nairobi, and reviews of secondary sources.";https://www.odi.org/sites/odi.org.uk/files/odi-assets/publications-opinion-files/2352.pdf;2005/03;English;Rwanda;Overseas Development Institute;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 75;
Land Reform, Land Scarcity and Post-Conflict Reconstruction:  A Case Study of Rwanda;Herman Musahara, Chris Huggins;;Institute for Security Studies Africa;"This case study, based on interviews in Rwanda and an extensive review of secondary material, builds on previous analysis, and examines proposed land reforms as articulated in the National Land Policy. However, it does not attempt to be a comprehensive review of the land policy – more in-depth studies have already been conducted. Instead, it situates the policy and the process involved within the wider debates about governance and conflict resolution in the country. It examines some assumptions made in the policy, and essentially looks at the political aspects of questions which are often portrayed as purely ‘technical’ issues. We suggest that “policy implementation is more likely than not to be a process of policy interpretation”; and examine governance structures which are likely to guide this interpretation.";http://mercury.ethz.ch/serviceengine/Files/ISN/108504/ichaptersection_singledocument/42dd35f3-391b-4830-9b3d-37abdcae7bab/en/6LAND.PDF;2005/06;English;Rwanda;Institute for Security Studies Africa;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 76;
Land Scarcity, Distribution and  Conflict in Rwanda;Jean Bigagaza, Carolyne Abong, Cecile Mukarubuga;;African Centre for Technology Studies;This chapter examines the relationship between land scarcity and conflict in Rwanda. Historically, land pressure has been a severe problem in Rwanda, where over 90% of the population practises agriculture. Land pressure has resulted in declining overall agricultural production, but increasing production for individuals and groups with favourable land and resource access. Cultivation is encroaching into wetlands, national parks and forest reserve areas to satisfy unmet demands for land by some, predominately underprivileged, groups. Large numbers of internally displaced persons have worsened stress in some ecologically sensitive areas, such as in forests, resulting in localised degradation of forest resources. ;https://s3.amazonaws.com/Landesa - Rural Development Institute_production/resource/2176/Bigagaza_Chapter2-Scacrity-and-surfeit_2002.pdf?AWSAccessKeyId=AKIAICR3ICC22CMP7DPA&Expires=1471356614&Signature=%2BKhKT8Mq4AhZewpLzE0KkoplJ6U%3D;2004;English;Rwanda;African Centre for Technology Studies;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 77;
Preventing Conflict through Improved Policies on Land Tenure, Natural Resource Rights, and Migration in the Great Lakes Region;Christopher Huggins;;African Centre for Technology Studies;"Since the early 1990s, parts of Africa’s Great Lakes Region have experienced political strife, armed conflict and population displacements with severe humanitarian consequences. Processes to resolve and pre-empt violent conflict in these countries are vital in order to bring regional peace. While violent conflicts in the region have clearly revolved around political struggles for the control of the state, recent research has pointed to the significance of environmental variables in triggering and sustaining struggles for power in the region. ACTS conducted research on these issues in Rwanda, Burundi and Democratic Republic of Congo; this policy brief presents a summary of findings.";http://pdf.usaid.gov/pdf_docs/PA00K39D.pdf;2004;English;Rwanda;African Center for Technology Studies (ACTS);Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 78;
Problématique du Régime Foncier au Rwanda: Contexte et Perspectives, Relations avec l’Habitat Regroupé;Nkusi Juvénal;;Conseil de concertation des organisations d'appui aux initiatives de Base;"Le retour des réfugiés de 1959, la politique de regroupement de l'habitat adoptée en 1996, la disette qui frappe le pays depuis 1999, la faible pluviosité qui prévaut dans le pays depuis deux ans après le phénomène el nino, conduisent à une prise de conscience nouvelle de ce qu'il faut appeler la question foncière, de ses relations avec la production agricole dans le cadre de l'option de sécurité alimentaire. Les conditions dans lesquelles la problématique foncière s'est progressivement imposée dans les analyses et préoccupations des acteurs de développement expliquent sans doute les tergiversations et les complexités d'approche, les hésitations multiples et surtout l'absence d'une circonscription précise du problème. Le droit à la terre pour les réfugiés est inscrit dans la Loi Fondamentale, principalement dans le Protocole sur le retour des réfugiés; l'Etat a l'obligation de leur trouver et de leur donner des terrains. Les exigences d'une production agricole sous la forme intensive, commerciale et spécialisée, la prédominance de la propriété familiale, la fébrilité du statut juridique de la terre en droit écrit et coutumier rendent encore difficile l'identification des filières propres à déterminer les voies de solution du problème.
Les analyses faites cherchent à isoler la question foncière du contexte socio- économique dans lequel il s'inscrit; par la suite les solutions et les propositions restent cantonnées dans des perspectives étroitement sectorielles et visent à agir sur les situations foncières, notamment les mécanismes générateurs de ces situations, symptômes de formes et de niveaux de développement dépendant et de structures sociales inégalitaires. La complication de ce problème devient de ce fait un indicateur de pauvreté et sa prise en compte, ajoutée à son intégration dans l'ensemble des perspectives de développement économique définit sans équivoque la volonté de modernisation et d'adaptation au contexte global. Longtemps oublié ou ignoré, le problème foncier est un nœud important d'insertion de l'économie rurale dans l'ensemble de l'économie nationale monétarisée.";https://repositories.lib.utexas.edu/bitstream/handle/2152/5932/3185.pdf?sequence=1;2000/05;Français;Rwanda;Conseil de concertation des organisations d'appui aux initiatives de Base;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 79;
The Urgency of Land and Agrarian Reform in Rwanda;Saskia Van Hoyweghen;;Oxford University Press;The challenges which lie ahead for post-genocide Rwanda's economic, social and political development are closely related through the issue of land. The pressure from a high rate of population growth, added to the paucity of economic opportunities outside the agricultural sector, is forcing people off the land and into poverty. Society is under extreme stress. Over the last decade the fabric of Rwandan society has been torn, resulting in ethnic and social divisions which culminpted in the events of 1994. Since then, new groups have entered the competition for land. Decisions concerning land and agrarian reform will unavoidably benefit some groups within this fragmented society while disadvantaging others. This article approaches the land problem from two perspectives: first, by situating its socio-economic dimension in a deeper historical context and second, by considering it as a specifically contemporary socio-political problem. The article discusses the latest proposals for land and agrarian reform. While pressure on land has, over time, weakened social bonds, it remains doubtful whether the government has the political strength—in the present unstable national and regional political climate—to carry out the necessary reinforcement of communal bonds which economic development appears to require.;http://afraf.oxfordjournals.org/content/98/392/353.abstract.%20;1999;English;Rwanda;Oxford University Press;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 80;
