ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"bridge:A52749";"Alternative Report of Cladem Peru on the Implementation in Peru of the Convention on the Elimination of all Forms of Discrimination Against Women";"";"This shadow report, led by The Latin American and Caribbean Committee for the Defense of Women's Rights -Peru (CLADEM-Peru), contributes to the United Nations Committee that monitors the implementation of the Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW). It is an opportunity for women's groups to monitor their government and to raise concerns about the official submission of the government to the CEDAW committee. This shadow report maintains an explicit focus on those areas these groups deem to be of particular concern in Peru, namely, sexual and reproductive rights, discriminatory political practices and violence against women. Despite the existence of legislation, significant aspects of women's rights are overlooked. These include narrow definitions of sexual abuse; little recognition by public officials at all levels of the existence or seriousness of these problems; difficulties accessing (emergency) contraception and information despite laws guaranteeing their availability; the persistence of laws that state that life begins at conception, thereby preventing women from accessing abortions, even in cases of (marital) rape; and continued discrimination against sex-workers and weak child trafficking laws. The report concludes that in these areas, the government still has some distance to go before the CEDAW conventions are met. ";"";"";"";"BRIDGE";"2002-08-01";"en;es";"development;land rights;rural development;women";"Land & Gender";"Access to Land & Tenure Security";"005;PER";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52749";"http://www.cladem.com/espanol/regionales/monitoreo_convenios/cedawperu.asp";"";"";"";"";"Cultural diversity;Policy change;Economy and finance;Men and masculinities;Divorce;Gender relations and power;Diversity and difference;Workers rights;Violence against women;Infrastructure and services;Formal education;HIV/AIDS;Health systems;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Domestic violence;Labour standards;Income distribution;Ageing and older people;Sex workers;Trade and industry;Social responsibility;Diseases and illnesses;Economic empowerment;Rural development;Political participation;Literacy;Gender mainstreaming tools and approaches;Other sexually transmitted diseases (STDs);Sexual and reproductive health and rights (SRHR);Voluntary and forced migration;Governance and decision-making structures;Micro-credit;Land rights;Marriage;Human rights instruments;Poverty and quality of life;Health and well-being;Family structures and the household;Indigenous societies;Sexual violence;Harmful cultural practices;Health sector reform;Widows;Allocation of resources;Female-headed households;Primary health care;Education and learning;Democratic processes;Poverty alleviation;Advocacy and advocacy tools;Life skills;Gender-based violence;Paid work and care work;Human trafficking;Children"
"bridge:A59291";"Gender and Climate Change: Supporting Resources Collection";"";"This Supporting Resources Collection - part of the BRIDGE Cutting Edge Pack on Gender and Climate Change- showcases existing work on gender and climate change. It presents summaries of a mix of conceptual and research papers, policy briefings, advocacy documents, case study material and practical tools from diverse regions. Examining why a focus on gender and climate change is important, the resources look at the human and gender impacts of climate change, the global and national responses to climate change and locally relevant gender aware responses to climate change. They seek to address a wide range of questions including:

    How do gender inequalities affect the ways that women and men are affected by climate change and constrain the choices women? 


    How can we ensure human rights are at the centre of climate change responses? 


    How can we ensure women play an equal role in decision-making around climate change?

The collection also provides information on international frameworks and conventions relating to climate change, and as well as mitigation mechanisms and key climate funds.  Finally, this collection contains a 'networking and contacts’ section, which gives details of the organisations featured in the Cutting Edge Pack. Details of how to obtain copies or download the full texts of all featured resources are provided with each summary. ";"G Aboud";"";"Institute of Development Studies UK";"BRIDGE";"2011-01-01";"en;fr";"food security;climate change;forestry;natural disasters;land rights;agriculture";"Land & Gender;Land, Climate change & Environment;Forest Tenure;Land & Food Security";"Access to Land & Tenure Security";"";"Training Resources & Tools;Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A59291";"http://docs.bridge.ids.ac.uk/vfile/upload/4/document/1111/Climate_changeSRC1.pdf";"";"";"";"";"Agriculture;Empowerment;Food security;Sustainable livelihoods;Gender mainstreaming tools and approaches;Gender budgets;Family structures and the household;Climate change;Gender relations and power;Human rights and social movements;Gender training;Aid effectiveness;Forestry;Natural disasters;Land rights;Poverty and quality of life;Pastoralism;Natural resources and the environment;Participatory approaches"
"bridge:A22164";"Housing development and women’s right to land and property";"";"The Women Advancement Trust (WAT) in Tanzania carries out various initiatives related to land rights, affordable housing, and inheritance rights. This report presents lessons learned from a housing and shelter development initiative. The goals of the initiative were to empower low-income communities, particularly women, to participate fully and actively in all aspects of human settlements development, including the improvement of their living and housing conditions. The initiative sought to achieve this through providing education and offering training and technical assistance in urban and peri-urban areas of Tanzania on land rights, housing construction, and savings and credit. The authors consider various aspects of the programme including housing development and the establishment of housing cooperatives and groups, infrastructural development, and information, communication, advocacy and lobbying by WAT around women's right to own land. The authors conclude that WAT's combination of promoting gender sensitivity in land and property ownership and housing development provides a unique opportunity for the poorest residents to benefit from new government initiatives to support housing development and improve the living conditions for the urban poor. WAT also has an important role to play in raising awareness of these initiatives. ";"T. Anyamba
B. Nordahl";"";"Institute for Development Studies, University of Nairobi";"BRIDGE";"2005-01-01";"en";"development;land;land rights;property;women";"Land & Gender";"Access to Land & Tenure Security";"TZA;018;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A22164";"http://www.norad.no/ngo-evaluation/evaluations/915ca8ae-350b-4f2e-93a1-4e4000f1d25f.pdf";"";"";"";"";"Infrastructure and services;Housing;Land rights;Inheritance rights;Human rights and social movements"
"bridge:A53464";"Land Reform and Human Rights in Contemporary Zimbabwe: Balancing Individual and Social Justice through an Integrated Human Rights Framework";"";"Land distribution and access to land are key issues in Zimbabwe. In recent years, nearly all of the country's commercial farm land has been re-designated, leaving most farm workers dislocated from their farm villages. The government of Zimbabwe argues that the land reform programme is needed to achieve historical and social justice. However, this article concludes that the government is engaged in serious human rights violations and is appropriating land to distribute to its followers for political not social justice ends. The rights of vulnerable groups such as farm workers, women and children are not being protected. For example, earlier reforms put in place to enhance women's tenure rights are not being implemented. Also, the possibilities for single, widowed and divorced women to use resettlement land productively are extremely limited as they often possess only meagre resources. Using a human rights perspective, this article calls for a concerted strategy to protect people's livelihoods through a wider protection of their property rights. ";"B. Derman
A. Hellum";"";"Elsevier";"BRIDGE";"2004-10-01";"en";"land reform;land rights;land";"Land & Gender";"Access to Land & Tenure Security";"018;014;ZWE";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A53464";"http://www.sciencedirect.com/science/article/pii/S0305750X04001275";"";"";"";"";"Cultural diversity;Sustainable livelihoods;Poverty and quality of life;Diversity and difference;Land rights;Human rights and social movements"
"bridge:A53063";"Gender Strategy in Agriculture and Rural Development to the Year 2010";"";"The renovation process in Vietnam in the past decade has enabled significant economic growth as well as and greater rights and more important economic roles of farming households. However, much of this reform has focussed on men as head of households, meaning men have benefited more from economic reform, both economically and in terms of their power within the household. Inequalities continue in access to and control of key resources such as land, water, credit and rest time, as well as in access to public services. To respond to these inequalities, the Ministry of Agriculture and Rural Development has identified five key objectives: (1) to increase social awareness of gender among officials and the rural population in general; (2) to increase rural women's access to and control of key resources; (3) to integrate gender targets and sex-disaggregated M&E tools in policies, plans and projects in the Ministry and agricultural sector more broadly; (4) to integrate gender into agricultural research, public services and training; (5) to empower women and increase their participation in decision-making roles in the ministry and sector in general. A plan is outlined to work towards these objectives. ";"";"";"Asian Development Bank ";"BRIDGE";"2003-10-01";"en";"development;land rights;agriculture;rural development";"Land & Gender";"Access to Land & Tenure Security";"VNM;030;035";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A53063";"http://www.adb.org/Gender/country/Gender_Strategy.pdf";"";"";"";"";"Cultural diversity;Diversity and difference;Sustainable livelihoods;Allocation of resources;Human rights and social movements;Land rights;Water and sanitation;Poverty and quality of life;Health and well-being;Economic empowerment"
"bridge:A59290";"Gender and Development In Brief ‘Gender and Climate Change’ – edition 22";"";"Climate change is increasingly being recognised as a global crisis, but responses to it have so far been overly focused on scientific and economic solutions. How then do we move towards morepeople-centred, gender-aware climate change policies and processes? How do we respond to the different needs and concerns of women and men, and also challenge the gender inequalities that mean women are more likely to lose out than men in the face of climate change? This In Brief sets out why it is vital to address the gender dimensions of climate change. It maps pathways for making climate change responses more gender aware and – potentially – transformative and suggests promoting a rights based approach to climate change. This is to ensure that climate change policies and processes draw on human rights frameworks as well as finding alternatives to market-based approaches. When market-based approaches are used to address climate change mitigation they should benefit women equally and not exclude or further disadvantage them.  Another recommendation suggests learning from people focused gender – transformative approaches at the local level and apply these lessons to national and international policy.  In this respect, the In Brief includes inspiring examples of local, gender-aware innovations in Colombia and India. The case studies have been produced collaboratively through participatory workshops, semi-structured interviews and site visits with FUNDAEXPRESIÓN in Colombia and the Community Awareness Centre (CAC) in India. FUNDAEXPRESIÓN plays a key role in promoting strong local networks to create resilience to climate change and CAC engages women and men in developing relevant solutions that empower women. ";"E Skinner
A Brody
G Aboud";"";"Institute of Development Studies UK";"BRIDGE";"2011-11-01";"en;fr;es";"development;food security;climate change;forestry;land rights;agriculture";"Land & Gender;Land, Climate change & Environment;Forest Tenure;Land & Food Security";"Access to Land & Tenure Security";"IND;COL;005;035";"Training Resources & Tools;Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A59290";"http://docs.bridge.ids.ac.uk/vfile/upload/4/document/1112/EnBref22-ChangementClimat-Web.pdf";"";"";"";"";"Agriculture;Empowerment;Food security;Sustainable livelihoods;Gender mainstreaming tools and approaches;Climate change;Gender relations and power;Advocacy and advocacy tools;Gender training;Human rights and social movements;Forestry;Land rights;Poverty and quality of life;Natural resources and the environment;Participatory approaches"
"bridge:A52845";"CEDAW Combined Fourth and Fifth Periodic Reports of States Parties: Ethiopia";"";"Ethiopia has combined its fourth and fifth reports to the United Nations Committee that monitors the implementation of the Convention on the Elimination of All Forms of Discrimination Against Women (CEDAW). This report outlines the status of women in Ethiopia and initiatives on the part of all government and non-governmental actors to address the goals set out by CEDAW. Institutional commitments to address gender issues are in place. However, the socioeconomic status of women, particularly in rural areas, remains lower in Ethiopia's male-biased social structures. The national women's machinery in partnership with civil society and donors has been trying to tackle this situation through the development of a National Plan of Action with clearly defined objectives. Women's concerns are being addressed through changes in a broad range of areas, including water, domestic violence agricultural and family policy. Initiatives have been introduced to improve access to credit, training, skills and information, and improved support for advocacy campaigns around women's concerns. Progress in key areas are outlined, with statistics on legal equality, life expectancy, female mortality and education included. The report concludes by outlining the challenges still faced by Ethiopia, including a lack of resources to initiate long-term programmes, the need for more gender-disaggregated data, a lack of awareness of gender mainstreaming and the need to understand women's issues as well as involve them in political processes. ";"";"";"United Nations";"BRIDGE";"2002-10-01";"en";"land rights;CEDAW;food security";"Land & Gender;Land & Food Security";"Land Policy & Legislation;Access to Land & Tenure Security";"018;ETH;014";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52845";"http://www.bayefsky.com/reports/ethiopia_cedaw_c_eth_4_5.pdf";"";"";"";"";"Cultural diversity;Food security;Economy and finance;Economic empowerment;Men and masculinities;Divorce;Housing;Social protection;Violence against women;Infrastructure and services;Formal education;HIV/AIDS;Health systems;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Globalisation;Domestic violence;Allocation of resources;Income distribution;Ageing and older people;Trade and industry;Social responsibility;Urban development;Gender relations and power;Political participation;Literacy;Diversity and difference;Gender mainstreaming tools and approaches;Land rights;Other sexually transmitted diseases (STDs);Sexual and reproductive health and rights (SRHR);Governance and decision-making structures;Micro-credit;Labour standards;Marriage;Human rights instruments;Water and sanitation;Poverty and quality of life;Health and well-being;Macro-economics;Family structures and the household;Sexual violence;Harmful cultural practices;Policy change;Citizenship;Female-headed households;Gender budgets;Primary health care;Education and learning;Aid effectiveness;Democratic processes;Poverty alleviation;Advocacy and advocacy tools;Life skills;Gender-based violence;Paid work and care work;Natural resources and the environment;Social movements"
"bridge:A21817";"Women, citizenship and difference";"";"In a globalising world where the role of the local, the national and the global is shifting, the meanings of citizenship are also changing. This article presents some new theoretical discussions on gender and citizenship. It argues that, rather than something which sees everyone as ""the same"", citizenship should be understood as multi-tiered and formed through many different positions according to gender, ethnicity and urban/rural location. The author challenges the western-centric origins of citizenship theory and focuses on community membership, group rights and social difference in local, national and international contexts. In particular the article addresses the way in which the division between the family/private and the political/public operate to exclude certain groups, particularly women, from citizenship. It argues for a wider interpretation that does not concentrate solely on the relationship between people and the state. A theory of ?active citizenship? can promote participation by women and other marginalised groups in some form of decision-making. It can also ensure they receive the benefits or entitlements of community membership - such as welfare - which are needed to create the conditions in which people are able to participate. In this way citizenship can act as a ?political mobilization tool? which links up different feminist projects in local and global arenas. ";"N. Yuval-Davis";"";"Feminist Review";"BRIDGE";"1997-01-01";"en";"land rights;rural development;women";"Land & Gender";"Access to Land & Tenure Security";"001";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A21817";"http://www.bridge.ids.ac.uk/docs/davis_citizendifference.pdf";"";"";"";"";"Policy change;Gender relations and power;Diversity and difference;Accountability;Infrastructure and services;Participation and exclusion;Human rights and social movements;Civil society;Globalisation;Trade and industry;Rural development;Political participation;Literacy;Gender mainstreaming tools and approaches;Social responsibility;Governance and decision-making structures;Land rights;Human rights instruments;Family structures and the household;Urban development;Citizenship;Education and learning;Democratic processes;Life skills"
"bridge:A52506";"Are we not Peasants too? Land Rights and Women's Claims in India";"";"Do women have effective land rights in practice? Research and policy have only recently begun to engage with the need for women to have independent rights to fields of their own. What needs to be done? Four areas for action are identified with associated strategies: improve women's claims on private land (e. g. through gender equal inheritance laws); improve women's access to public land (e.g. through land reform schemes); improve women's access to land via the market (e.g. through subsidised credit); and improve the viability of women's farming efforts (e.g. through agricultural extension services targeted at women farmers). However, even in contexts of progressive social movements and legal reforms (such as in India), the realisation of women's independent land rights has been difficult. Rights are constrained in practice by obstacles such as social biases that prevent the implementation of pro-female laws, and women's lack of effective control over land they have rights to. The best way to achieve progress is therefore through women's collective action, involving gender equality advocates in the state, political parties, and civil society organisations. ";"B. Agarwal";"";"Population Council";"BRIDGE";"2002-01-01";"en";"land;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"IND;143;034";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52506";"http://ccc.uchicago.edu/docs/AreWeNotPeasantsToo.pdf";"";"";"";"";"Land rights;Human rights and social movements"
"bridge:A52759";"Gender and Citizenship: Learning from South Africa?";"";"In what ways does political transformation mean a change in meanings and practice of citizenship - in the relationships between individuals and the state? This paper discusses the experiences of women, particularly black women, of citizenship in South Africa, where the new administration promised a new politics based on civil society and universal citizenship. It firstly discusses spaces and meanings of citizenship, arguing that the South African context can show how formal citizenship is shaped by informal power structures and social roles and therefore requires the transformation of power structures and civil society activism. It then goes on to describe how structural economic and social inequalities need to be addressed in order for women to achieve citizenship and how this will be mediated by local, national and global economic factors. Local government is identified as a possible site in which to assess gender equality measures since it is currently introducing new structures in order to become more participatory and responsive. Finally the paper discusses how issues of difference, particularly relevant to this context, can be addressed through measures such as positive action aimed at groups rather than individuals. The paper argues for notions of citizenship that acknowledge existing African understandings of human development and calls for research that will destabilise traditional male, western notions of citizenship. ";"C. McEwan";"";"Agenda Feminist Publishing";"BRIDGE";"2001-04-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"ZAF;018;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52759";"";"";"";"";"";"Formal education;Economy and finance;Men and masculinities;Gender relations and power;Infrastructure and services;Policy change;Democratic processes;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Globalisation;Economic empowerment;Financial policy;Labour standards;Non-formal education;Ageing and older people;Trade and industry;Political participation;Literacy;Gender mainstreaming tools and approaches;Social responsibility;Life skills;Governance and decision-making structures;Land rights;Marriage;Human rights instruments;Family structures and the household;Urban development;Allocation of resources;Citizenship;Female-headed households;Education and learning;Income distribution;Advocacy and advocacy tools;Poverty and quality of life;Paid work and care work;Social movements"
"bridge:A17230";"Are wealth transfers biased against girls?: Gender differences in land inheritance and schooling investment in Ghana's western region";"";"This study attempts to analyse changing patterns of land transfer and ownership, as well as school investments by gender over three generations in customary land areas of Ghana's Western Region. Traditional inheritance rules deny land ownership rights to women. Yet the increase in the demand for women's labour due to the expansion of labour intensive cocoa cultivation has created incentives for husbands to give their wives and children land. Through this and other gift mechanisms, women have increasingly acquired land, thereby reducing the gender gap in land ownership. The gender gap in schooling has also declined significantly, though it persists. Findings suggest that changes to the increase in women's bargaining power are due to the introduction of the agricultural technology for cocoa farming, which has increased the demand for women's labour. This increasing demand for female labour as land use intensifies has, in turn, increased the transfer of land to wives and daughters. Such long-term changes have been supported by the absence of strong parental discrimination against daughters. Gender differences in schooling have been also declining in Ghana's Western Region, primarily because of declining social discrimination. Although the social and economic forces underlying such changes were not analysed as part of the study, a possible explanation is that building schools in remote villages and increasing non-farm employment opportunities for women have increased parental investments in daughters' schooling. ";"A. Quisumbing
E. Payongayong
K. Otsuka";"";"International Food Policy Research Institute ";"BRIDGE";"2004-01-01";"en";"land rights;land";"Land & Gender";"Access to Land & Tenure Security";"011;GHA";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A17230";"http://www.ifpri.org/divs/fcnd/dp/papers/fcndp186.pdf";"";"";"";"";"Land rights;Human rights and social movements"
"bridge:A52236";"Indigenous People: Bibliographies";"";"A bibliography of key texts, with, where possible, links to online versions of documents, plus a general bibliography of relevant resources. ";"";"";"BRIDGE";"BRIDGE";"1999-06-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52236";"http://www.bridge.ids.ac.uk/docs_gem/index_people/ip_resource2.htm";"";"";"";"";"Cultural diversity;Land rights;Diversity and difference;Indigenous societies;Human rights and social movements"
"bridge:A53269";"BRIDGE Report 42: Global Trade Expansion and Liberalisation: Gender Issues and Impacts";"";"Do women work more or less when countries trade more? Do trade expansion and economic liberalisation affect women and men in different ways'? Case studies from Ghana, Uganda, Sri Lanka, Pakistan, Bangladesh, and Jamaica are used in this report to illustrate some of the gender dimensions relating to trade. Present evidence suggests that, under certain conditions, export expansion can benefit certain groups of younger, more educated women. However in general, the rights of women workers to fair terms and conditions of employment need protection. This report argues that gender analysis is important for understanding trading opportunities, and that benefits of trade expansion are different for women and men. Gender discrimination in the labour market, and access to and control over land needs to be tackled, to reduce women's risk of experiencing losses from trade. ";"M. Fontana
S. Joekes
R. Masika";"";"Institute of Development Studies UK";"BRIDGE";"1998-01-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"001;PAK;143;034;LKA";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A53269";"http://www.bridge.ids.ac.uk/reports/re42c.pdf";"";"";"";"";"Economy and finance;Trade and industry;Land rights;Human rights and social movements;Macro-economics;Paid work and care work;Natural resources and the environment;Globalisation"
"bridge:A52812";"Women's Informal Employment in Transition Economies";"";"Women's employment in transition countries, notably Central and Eastern Europe has become increasingly informal and flexible. The first growing trend is that women are more involved in cross-border trade, known as 'suitcase' trade, often keeping women away from home for days or months. They buy mainly consumer and household goods usually unavailable in their home countries, to sell to street vendors on their return home. The second growing trend is women's involvement in sub-contracting, particularly work such as hand sewing for the textile and shoe industries. There is a need for more data, particularly gender-disaggregated data, on both women's and men's involvement in the informal economy. States must also create more economically, politically and socially enabling environments if informal economy workers are to receive the support they need. The next steps for governments may include undertaking policy advocacy on informal employment; establishing more dialogue with key policymakers and researchers to ensure that informal employment is on the agenda; and helping female home-based workers to organise and develop their own organisations. ";"S. Esim";"";"Institute of Public Finance, Croatia";"BRIDGE";"2002-10-01";"en";"land rights;food security;women";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"SVN;LIE;151;SVK;HUN;HRV;POL;DEU;AUS;CZE;CHE";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52812";"http://www.ijf.hr/eng/UE%202002/esim.pdf";"";"";"";"";"Cultural diversity;Food security;Sustainable livelihoods;Economy and finance;Gender relations and power;Diversity and difference;Infrastructure and services;Policy change;Human rights and social movements;Participation and exclusion;Globalisation;Economic empowerment;Labour standards;Trade and industry;Political participation;Workers rights;Governance and decision-making structures;Land rights;Family structures and the household;Urban development;Financial policy;Allocation of resources;Female-headed households;Poverty alleviation;Democratic processes;Financial institutions;Agricultural workers;Poverty and quality of life;Paid work and care work;Natural resources and the environment"
"bridge:A52858";"BRIDGE Report 52: Environmentally Sustainable Development and Poverty: A Gender Analysis";"";"How would environmentally sustainable development look if it was gender-sensitive? This report argues that much mainstream literature on environmentally sustainable development has ignored the gender dimensions. Where women have been the target of programmes, they have been seen as natural managers of environmental resources. A gender analysis is important because gender relations affect the ways in which poor men and women manage natural resources. Indeed, there are significant differences between women's and men's experience of poverty and environmental change due to gender inequalities in land ownership, the division of labour and decision-making powers. Effective natural resource management requires participatory approaches that take into account the different activities of household members and the impact of their different uses of natural resources on the environment. More detailed research is needed on the links between gender and environmental management. ";"S. Joekes
R. Masika";"";"Institute of Development Studies UK";"BRIDGE";"1997-10-01";"en";"development;sustainable development;environment;land rights;poverty;rural development";"Land & Gender;Land, Climate change & Environment;Socio-Economic & Institutional Context";"Access to Land & Tenure Security";"001";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52858";"http://www.bridge.ids.ac.uk/reports/re52.pdf";"";"";"";"";"Environmental degradation;Diversity and difference;Sustainable livelihoods;Economy and finance;Cultural diversity;Family structures and the household;Human rights and social movements;Ageing and older people;Infrastructure and services;Land rights;Environmental management;Rural development;Poverty and quality of life;Natural resources and the environment;Biodiversity conservation"
"bridge:A75366";"Empowering drylands women";"";"The Integrated Drylands Development Programme (IDDP) is a global UNDP initiative to promote sustainable development in the drylands, and advance the implementation of the UN Convention to Combat Desertification. This topic brief highlights the important role that gender plays in this context of sustainable development, in particular the role of women in the Arab States and Africa. In these regions, inequality and stereotypical gender norms often prevent women from contributing to the sustainable development of drylands, despite possessing a wealth of traditional knowledge and skills. To help address this, the promotion of gender equality and women’s empowerment was made a core component of the IDDP in its efforts for poverty reduction and environmental conservation in partner countries, and this brief summarises some of the results.

 

The majority of the brief describes IDDP related programmes and activities in Africa and the Arab States, and how they have helped to reduce poverty, increase resilience, and empower women. Case studies presented include: the strengthening of women’s groups in Morocco through skill-building and cooperatisation; improving energy and water access, and participation in their management, for women in Tunisia; the mainstreaming of desertification and climate change issues in Benin through the Programme to Support Drylands Development Activities, which benefited women’s energy efficiency and productivity; support for the diversification of women’s livelihoods in Kenya; and capacity-building initiatives in Tanzania that included poultry farming, tree planting, and beekeeping.

 

The brief closes by taking a look to the future, reiterating the commitment of the IDDP to scale-up its efforts toward gender equality and women’s empowerment, as per Outcome Four of the UNDP Strategic Plan for 2014-2017. In the Arab states, IDDP’s approach will be two-fold: stepping up support within country projects to better address issues concerning gender in mainstreaming, livelihoods, and natural resource management; and supporting gender specific activities in partner countries to advance women’s empowerment. In Africa, significant improvements in working conditions, income levels, and the overall status of women will be encouraged to continue through a commitment that 50% of direct beneficiaries from this programme will continue to be women. This is also in recognition of their key role in all aspects of agriculture, from cultivation to processing. Specifically, the IDDP will contribute to: enhancing women’s livelihoods; reducing wage gaps based on gender; strengthening women’s role in decision-making for drylands development; and improving women’s access to environmental goods and services.

  ";"";"";"Drylands Development Centre, UNDP";"BRIDGE";"2014-01-01";"en";"land;sustainable development;desertification;land rights;women";"Land & Gender;Land, Climate change & Environment;Socio-Economic & Institutional Context";"Land Use, Management & Investment;Access to Land & Tenure Security";"TZA;KEN;MAR;BEN;TUN";"";"https://www.bridge.ids.ac.uk/ids-document/A75366";"http://www.undp.org/content/dam/undp/library/Environment%20and%20Energy/sustainable%20land%20management/IDDPFactSheets/5_Empowering%20Drylands%20Women.pdf";"";"";"";"";"Empowerment;Gender relations and power;Poverty and quality of life;Land rights;Human rights and social movements;Natural resources and the environment;Economic empowerment"
"bridge:A52745";"Gender profile: Peru";"";"What is the condition of women in Peru? This gender profile by the Canadian International Development Agency (CIDA) offers a statistical overview of the condition of urban and rural women with respect to unemployment, status in the workplace, life expectancy and working and living conditions. Poverty is an ongoing concern and half the population continues to subsist below the poverty line. Rural women suffer the most with lower rates of literacy and fewer employment opportunities than urban women and men in general. More than 70 per cent of women work in unstable jobs with few benefits and low incomes. Women also experience discrimination and violence, including rape, spousal abuse, and sexual, physical, and mental abuse. Peru has committed in principle to protecting women's rights through the promotion of constitutional and legal rights, the ratification of international conventions and the establishment of a ministry to promote gender equality and women's development. Despite these commitments, women in Peru continue to experience disproportionate disadvantage because of both gender and income inequality. ";"";"";"Canadian International Development Agency ";"BRIDGE";"2002-01-01";"en";"land rights;rural development";"Land & Gender";"Access to Land & Tenure Security";"013;029;005;PER";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52745";"http://www.acdi-cida.gc.ca/cida_ind.nsf/0/d32a5bf90915f44a85256b6500610ba9?OpenDocument";"";"";"";"";"Cultural diversity;Formal education;Economy and finance;Housing;Social protection;Violence against women;Infrastructure and services;Policy change;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Economic empowerment;Labour standards;Income distribution;Trade and industry;Rural development;Gender relations and power;Political participation;Literacy;Diversity and difference;Gender mainstreaming tools and approaches;Social responsibility;Life skills;Governance and decision-making structures;Micro-credit;Land rights;Human rights instruments;Macro-economics;Family structures and the household;Indigenous societies;Urban development;Allocation of resources;Widows;Citizenship;Female-headed households;Poverty alleviation;Education and learning;Democratic processes;Poverty and quality of life;Gender-based violence;Paid work and care work"
"bridge:A52250";"Rural Livelihoods: Land Tenure and Common Property Resources Checklist";"";"A checklist for gender-sensitive analysis of land tenure and common property resource systems, with sections on: gender roles, needs, incentives and benefits; project planning; livelihoods context; facilitating participation; and measuring impact. ";"";"";"BRIDGE";"BRIDGE";"1999-06-01";"en";"property;sustainable development;land tenure;land rights;land allocation;common property;land reform;land";"Land & Gender;Socio-Economic & Institutional Context";"Land Policy & Legislation;Access to Land & Tenure Security";"";"Training Resources & Tools";"https://www.bridge.ids.ac.uk/ids-document/A52250";"http://www.bridge.ids.ac.uk/docs_gem/index_sectors/natural/nr_tools5.htm";"";"";"";"";"Gender relations and power;Human rights and social movements;Sustainable livelihoods;Land rights;Poverty and quality of life"
"bridge:A52172";"Rural Livelihoods: Land Tenure";"";"Gender issues in land tenure systems.  Sections include: key issues; females' less visible roles; instances when women and girls may need special attention; examples of gender sensitive terms of reference; and mini case studies. ";"";"";"BRIDGE";"BRIDGE";"1999-06-01";"en";"land;land tenure;land rights;land allocation;agrarian reform";"Land & Gender";"Land Policy & Legislation;Access to Land & Tenure Security";"";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52172";"http://www.bridge.ids.ac.uk/docs_gem/index_sectors/natural/lt_coretext.htm";"";"";"";"";"Human rights and social movements;Sustainable livelihoods;Land rights;Poverty and quality of life"
"bridge:A52985";"Africa: Land for the Women who Farm it";"";"Women do 70 per cent of the agricultural work in Senegal, but according to the Food and Agriculture Organization of the United Nations (FAO), own only two percent of the land that may be cultivated. Although property laws in countries such as Senegal, Tunisia and Burkina Faso recognise women' s and men's equal rights, and Islam gives women the right to inherit half what men inherit, in practice men retain land ownership. Women are dependent on fathers or husbands for land. African women held a meeting organised by FAO/Dimitra (rural women and development project of the FAO) and Enda (francophone gender and development network) in Senegal in February 2003 to act upon this issue. This is a difficult task which requires persistence as well as information and education to better negotiate with the family and local authorities. ";"";"";"Syfia International";"BRIDGE";"2003-04-01";"en;fr";"land;land rights;rural development;women";"Land & Gender";"Access to Land & Tenure Security";"011;BFA;145;015;TUN;SEN";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52985";"http://www.syfia.info/fr/article.asp?article_num=3099";"";"";"";"";"Sustainable livelihoods;Workers rights;Human rights and social movements;Infrastructure and services;Land rights;Rural development;Poverty and quality of life;Paid work and care work;Family structures and the household;Agricultural workers"
