id,title,description,acronym,start_date,end_date,funding,project_url,countries,donor,related_overarching_categories,related_themes,related_concepts
,Local Investment in National Competitiveness: Ukraine,"<p><b>Local Investment and National Competitiveness (LINC)</b> was an ambitious project of the United States Agency for International Development. Its mission was to help increase competitiveness in cities and economic regions by systematically helping to improve business conditions and practices at both the local and national level. The LINC project did so through a number of activities, including: promotion of economic reform at the national level; support for economic development and competitiveness strategic planning efforts in cities and economic regions; alleviation of administrative and regulatory barriers to investment and exports; fostering of public-private partnerships, as well as other tasks. The program also assisted the Autonomous Republic of Crimea to improve its business and investment environment by streamlining the work of permit-issuing one-stop shops, and enhancing the ability of key industries to integrate Crimean goods and services into higher-value markets.</p>
<p>In 2010, the Government of Ukraine reformed its registration system unifying registration services under one institution. The LINC project provided assistance to the new State Registration Service (SRS) to build its capacity to implement the property rights registration reform. Efforts were aimed at getting the SRS staff ready to perform registration functions through training programs, including TOT, technical advice, and public information on property rights registration.</p>
<h2>Objectives</h2>
<ul>
<li>Objective 1: Improving the business enabling environment</li>
<li>Task 1: Promote economic reform at the national level</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Operability of the property rights registration service as an integral part of a transparent and efficient land market increased</li>
<li>Professional education program for state registrars developed, including a manual and training videos distributed to regional State Registration Service offices around the country</li>
<li>Over 300 newly hired lawyers trained on new legal requirements of property rights registration</li>
<li>610 local State Registration Service offices equipped with information boards for visitors</li>
<li>Design of a public information campaign on property rights registration system coming into effect in 2013</li>
</ul>",,2009,2012,USD 23388642,https://www.land-links.org/project/local-investment-in-national-competitiveness-ukraine/,UKR,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Land Rights and Community Forest Program: Liberia,"<p>USAID/Liberia’s <b>Land Rights and Community Forestry Program (LRCFP)</b> worked with government, pilot communities, and other stakeholders to establish and demonstrate a framework for community land and forest resource rights that will provide equitable local benefits while safeguarding national and international forest conservation obligations. Key government partners comprise the Forestry Development Authority, the recently formed Land Commission, and local government including traditional authorities. LRCFP’s engagement with pilot rural communities sought to inform emerging land and community forestry policies and build capacity in practice regarding issues and workable solutions to sustainable management of forest lands.</p>",,2008,2010,USD 8000000,https://www.land-links.org/project/land-rights-and-community-forest-program-liberia/,LBR,USAID,"Land Use, Management & Investment","Land, Climate change & Environment",environment;climate change;sustainable land management;natural resources management
,Legislative Strengthening and Capacity Building: Rwanda,<p>The <b>Legislative Process Strengthening Project</b> provided assistance to the executive and legislative branches of the Government of Rwanda to modify policies and laws to include people affected by HIV/AIDS.</p>,,2008,2010,USD 673150,https://www.land-links.org/project/legislative-strengthening-and-capacity-building-rwanda/,RWA,USAID,,Land Conflicts,land conflicts;land governance
,Más Inversión para el Desarrollo Alternativo Sostenible: Colombia,"<p>USAID/Colombia’s <b>Más Inversión para el Desarrollo Alternativo Sostenible (MIDAS)</b> project, through an integrated approach across four technical components (small and medium enterprises, agribusiness, commercial forestry, and policy), aimed to improve economic competitiveness and reduce incentives for participation in illicit cultivation and commercial activities. The MIDAS project’s policy component addressed problems of insecure property rights and the need to restitute land rights to millions. MIDAS identified legal and institutional limitations to land formalization processes as well as mechanisms to reduce transaction costs. The project reformed laws and regulations, conducted pilot regularization activities in seven rural regions, and developed a pilot for a GIS-based land information system.</p>",,2005,2010,USD 2000000,https://www.land-links.org/project/mas-inversion-para-el-desarrollo-alternativo-sostenible-colombia/,COL,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Mejora de los Procedimientos Catastrales Municipales: Paraguay,"<p>The <b>Mejora de los Procedimientos Catastrales Municipales</b> project aims to promote the improvement of the institutional links between the National Cadastre and municipalities in the generation, processing, evaluation and integration of the cadastral system information.</p>",,2011,2016,,https://www.land-links.org/project/mejora-de-los-procedimientos-catastrales-municipales-paraguay/,PRY,USAID,,,
,Mitigating Interethnic Land Conflict in Colombia,"<p>Mitigating Interethnic Land Conflict in Colombia: Securing Territory and Resource Rights in Rural Communities</p>
<p>In Colombia, indigenous populations are frequently impacted by armed conflict and forced dispossession from their lands. This project sought to mitigate inter-ethnic conflicts by strengthening community governance structures, mediating disputes, clarifying land tenure rights and promoting sustainable natural resource management.</p>",,2008,2010,USD 599973,https://www.land-links.org/project/mitigating-interethnic-land-conflict-in-colombia/,COL,USAID,,Land Conflicts,land conflicts;land governance
,Mobile Applications to Secure Tenure: Burkina Faso,"<p>Under the <a href=""/project/evaluation-research-and-communication-global/"">Evaluation, Research and Communications (ERC)</a> project, USAID launched the <strong>Mobile Applications to Secure Tenure (MAST)</strong> Pilot in Burkina Faso. MAST uses a simple android app and a semi-crowdsourced methodology to facilitate the mapping and documentation of land in a more efficient, transparent, and affordable manner. USAID has already successfully piloted <a href=""/project/mobile-application-to-secure-tenure-tanzania/"">MAST in Tanzania</a>, where it is now being scaled across an entire district. In Burkina, USAID is working with the <a href=""/project/national-land-observatory-pilot-burkina-faso/"">Observatoire National du Foncier</a> (which is funded by USAID) and with the Government of Burkina Faso to pilot MAST in four villages within Boudry Commune, close to Ouagadougou.</p>
<p>In 2009 the Government of Burkina Faso (GoBF) adopted Law 034-2009 along with related decrees and codes to provide a mechanism to secure customary land rights in rural and peri-urban areas and to deliver land certificates (APFR). To implement the law, however, the GoBF currently relies on ad hoc efforts that are developed and implemented by donor and NGO-led projects to secure land rights across 302 rural communes. This lack of standard approach makes it more difficult to share land information across government agencies and offices, to promote land transparency, and to create a body of knowledge from which research can be generated.</p>
<p>In Tanzania, MAST was used to successfully document and record land rights, resulting in the distribution of 3,800 Certificates of Customary Rights to Occupancy (CCROs) to 1,312 households. By piloting MAST in Burkina Faso, USAID seeks to provide a relatively simple and user-friendly technology and implementation methodology that can be used to build awareness of, and respect for, land rights in rural Burkina Faso (including women’s land rights); enhance the capacity of Land Tenure Services (SFR) agents and local governance representatives to map and record land rights information; reduce time and costs associated with delivery of land rights documentation; and improve the exchange of land information among various agencies and stakeholders in Burkina Faso. The overarching objective of the project is to adapt the existing technology to a new context in order to secure rural land rights and improve land governance in Burkina Faso.</p>",,2016,2017,USD 238000,https://www.land-links.org/project/mobile-applications-secure-tenure-burkina-faso/,BFA,USAID,,,
,Pilot on Responsible Land-Based Investments,"<p>Under the Evaluation, Research and Communications (ERC) project, USAID is collaborating with the private sector to road-test investment guidance such as the <a href=""/global-policy/analytical-framework/"">New Alliance’s Analytical Framework for Responsible Land-Based Investments in African Agriculture</a>. The <strong>Responsible Land-Based Investment Pilot</strong> supports the efforts of several investors to improve corporate due diligence processes, community consultation and grievance mechanisms while enhancing food security, environmental protection and human rights protections. This pilot is undertaken as part of the U.S. Government’s National Action Plan on Responsible Business Conduct and USAID’s overall efforts to promote responsible investment in the developing world.</p>
<p>This pilot is designed to mitigate risks and reduce or eliminate harms associated with land-based investment in developing countries. By strengthening due diligence processes, USAID will help private sector investors identify possible risks associated with new or existing investments that may affect the land tenure and resource rights of local peoples and communities. The project will also support efforts to create effective grievance mechanisms so local people can air complaints and concerns related to land-based investments. Finally, the pilot project will create participatory processes to map and record land rights information for smallholders. These efforts are designed help create more inclusive processes that address various concerns related to land-based investing.</p>
<p>Through this pilot project, USAID will document lessons learned and successes in order to improve the private sector’s engagement with local people and communities with the goal of increasing shared value and benefits. The pilot will produce a variety of material to share these lessons broadly.</p>",,2016,2018,USD 1000000,https://www.land-links.org/project/pilot-responsible-land-based-investments/,MOZ;BLZ,USAID,"Land Use, Management & Investment",Land & Investments,land investments
,Ongoing Legal and Regulatory Assistance: Angola,<p>The <b>Ongoing Legal and Regulatory Assistance (Angola Phase III)</b> project provided parallel input into (1) continued legal assistance to implementing regulation for the new land law; (2) a land-related conflict management and mitigation capacity-building component designed to prevent/address conflict arising from land reform efforts in two pilot areas in the country; and (3) assessment of the opportunities for moving newly acquired land rights into enterprise development models that can be replicated in other parts of the country.</p>,,2006,2008,USD 101753,https://www.land-links.org/project/ongoing-legal-and-regulatory-assistance-angola/,AGO,USAID,,Land Conflicts,land conflicts;land governance
,"People, Rules and Organizations Supporting the Protection of Ecosystem Resources: Liberia","<p>The <b>People, Rules and Organizations Supporting the Protection of Ecosystem Resources (PROSPER)</b> project introduces, operationalizes and refines appropriate models for community management of forest resources for local self-governance and enterprise development.</p>",,2012,2017,USD 9000000,https://www.land-links.org/project/people-rules-and-organizations-supporting-the-protection-of-ecosystem-resources-liberia/,LBR,USAID,,,
,National Land Observatory Pilot: Burkina Faso,"<p>Under the <a href=""/project/evaluation-research-and-communication-global"" target=""_blank"" rel=""noopener noreferrer"">Evaluation, Research and Communication</a> (ERC) project, USAID is conducting a pilot project to support the initial start-up phase of a National Land Observatory (NLO) in Burkina Faso. The goal of the NLO is to strengthen Burkina Faso’s land governance and improve transparency in land transactions to promote greater consistency with the Voluntary Guidelines on the Responsible Governance of Tenure of Land, Fisheries and Forests (VGs).</p>
<p>The <strong>National Land Observatory</strong> pilot project will be launched in Burkina Faso with assistance from the MCA-Burkina Faso. Support will transition to USAID starting on August 1, 2014. The NLO will be responsible for monitoring of, and support to the land tenure reform process currently underway through research, policy assessment, and dialogue. It would cover both rural and urban tenure. The NLO will identify further legal, regulatory, procedural and operational adjustments and also provide a venue for sharing research results, tools developed and lessons learned from pilot land tenure interventions. The ultimate objective of this project is to create a sustainable organization that helps enhance the performance of land institutions in the country and to promote adherence to principles outlined in the VGs in the Context of National Food Security.</p>",,2014,2015,USD 1000000,https://www.land-links.org/project/national-land-observatory-pilot-burkina-faso/,BFA,USAID,,,
,Programme de Bonne Gouvernance: Democractic Republic of Congo,"<p>The <b>Programme de Bonne Gouvernance (PBG)</b> works to improve the management capacity and accountability of select legislatures and local governments in the Democratic Republic of Congo (DRC). The PBG promotes good governance by creating a stronger demand for government accountability through the enhancement of civil society’s advocacy capacity. The program also develops decentralization policies, helps local governments improves service delivery, and increases the institutional capability of national and provincial assemblies. The program partners with three different groups: parliamentary institutions at the central and provincial level; public institutions that have a role in decentralization; and civil society and community-based organizations. The program is being implemented in the provinces of Bandundu, Katanga, Maniema, and South Kivu. Project activities include advocating for better protection of small farmers against illegal taxation and land tenure insecurity, for better fiscal management, for action on health issues, and against corruption.</p>",,2009,2014,,https://www.land-links.org/project/programme-de-bonne-gouvernance-democractic-republic-of-congo/,COD,USAID,,Land Conflicts,land conflicts;land governance
,Promoting Peace and Reconciliation in Violence-Affected Communities in Colombia,"<p>The main objective of the <b>Promoting Peace and Reconciliation in Violence-Affected Communities in Colombia</b> project was to enhance the Government of Colombia’s (GOC) capacity for the design and implementation of a national public policy for restitution and protection of land and territories, through technical and financial support to strategic communities and government agencies in charge of these policies.</p>",,2009,2009,USD 400000,https://www.land-links.org/project/promoting-peace-and-reconciliation-in-violence-affected-communities-in-colombia/,COL,USAID,,,
,ProMara: Kenya,"<p>The <b>Collaborative Management of the Mara – Mau (PROMARA)</b> project was created in response to an urgent need to protect the Mau Forest Complex. PRRGP (with funding from USAID/Kenya) will soon launch the PROMARA project to promote conservation, sustainable management of resources, and sustainable livelihood activities in the upper Mara River catchment—the source of urban water supplies for Nairobi.</p>",,2010,2012,USD 7000000,https://www.land-links.org/project/promara-kenya/,KEN,USAID,"Land Use, Management & Investment","Land, Climate change & Environment",environment;climate change;sustainable land management;natural resources management
,Promoting Peace through Land Dispute Management: Rwanda,"<p>The <strong>Promoting Peace through Land Dispute Management</strong> project aims to manage and mitigate land-related conflict by improving the capacity and effectiveness of local institutions in managing land disputes. The project will also create a safe space for communities to discuss issues before they escalate into conflict.</p>
<p>Applying a people-to-people approach, this program builds on the success of existing programs and local institutions to facilitate the handling of land disputes.</p>
<p>The project will train Community Resource Persons (CRPs) to facilitate land dispute management and community dialogues. Community dialogues will provide a safe space for diverse groups to discuss land issues, allowing participants to break down barriers through exchange and discussion of common interests. These dialogues will also help increase the understanding of land issues that communities face, while stimulating a search for community-driven solutions. In turn, these discussions will provide important insights about land-related issues that will inform broader policy debate, providing the government information to make more informed and more responsive land policies.</p>
<p>In collaboration with local organizations, the National Women’s Council and Haguruka, the project will focus on achieving the following objectives:</p>
<h2>Objectives</h2>
<ul>
<li>Creating an institutionalized network of CRPs trained to manage land disputes in their communities</li>
<li>Improving the legal, policy, and institutional framework for land dispute management by making it more responsive, participatory, and better informed</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Held 21 community dialogues that brought together over 450 participants to increase their understanding of land issues</li>
<li>Peacefully resolved 89 intra-household land disputes involving women at the community level</li>
<li>Trained over 1,700 people on conflict resolution and women’s land rights</li>
<li>Aired 25 episodes of the Ubutaka Bwacu radio show on land rights and land disputes</li>
<li>Completed a land dispute mapping exercise in the Eastern Province to improve data on land conflict</li>
</ul>",,2013,2016,USD 1159142,https://www.land-links.org/project/promoting-peace-through-land-dispute-management-rwanda/,RWA,USAID,,,
,ProParque: Honduras,"<p>The USAID ProParque team is helping Honduras develop sound management of its natural resources in a way that complements the country’s economic and social development. The project works with the Government of Honduras to strengthen the nation’s protected area management system, improve biodiversity and natural resource management, and facilitate rural enterprise growth, climate change adaptation, disaster risk reduction, land tenure, and clean energy development. The goal: improve Honduran biodiversity conservation, create local jobs, and strengthen national capacity for mitigating and adapting to global climate change. Honduras and its Bay Islands have rich natural resources—stunning coral reefs, mangroves, rainforests, cloud forests, mountain ranges, and an abundance of endemic plant, and animal species. ProParque works side-by-side with the government, private sector, and civil society to protect these resources and leverage their natural and economic value for the benefit of the country and people who live within these sustainable and productive landscapes. ProParque and its partners—The Nature Conservancy, CARE Honduras, and Zamorano University—are collaborating with numerous associates, including the Ministry of Natural Resources and Environment; Honduran Institute of Tourism; and Institute of Forest Conservation, Wildlife, and Protected Areas, among others. For more information about ProParque, visit <a href=""http://en.usaid-proparque.org/about-us"">http://en.usaid-proparque.org/about-us</a>.</p>",,2011,2016,USD 29500000,https://www.land-links.org/project/proparque-honduras/,HND,USAID,"Land Use, Management & Investment","Land & Investments;Land, Climate change & Environment;Socio-Economic & Institutional Context",development;sustainable development;sustainable land management;climate change;land investments;environment;natural resources management
,Property Rights and Artisanal Diamond Development II: Central African Republic,"<p>The <strong>Property Rights and Artisanal Diamond Development II (PRADD II) Project</strong> supports the government of the Central African Republic (CAR) to implement mining best practices and promotes good governance of the mining sector at the international level through the Kimberley Process (KP), the international mechanism that strives to prevent rough diamonds from fueling conflict. The objective of PRADD II is to increase the number of alluvial diamonds entering the formal chain of custody, while improving the benefits accruing to diamond mining communities. PRADD II also promotes peace building through supporting the reestablishment of the legitimate conflict-free diamond supply chain in Kimberley Process-approved “compliant zones”. The anticipated result and aim is that rough diamond exports from these compliant zones will resume, thereby providing a legal export channel, reducing the role of illegal diamonds in fueling conflict, and contributing to economic reconstruction. In addition, it is hoped that social cohesion in diamond mining communities and adhesion of all diamond sector actors to the legitimate supply chain will be strengthened, contributing to long-term peace-building.</p>
<h2>ACHIEVEMENTS</h2>
<h3>BUILDING GOVERNMENT CAPACITY</h3>
<p>PRADD II assisted the government with developing an operational framework for implementing the KP requirements. PRADD II is working closely with the CAR authorities to establish processes to address the Operational Framework in CAR’s five compliant zones. PRADD II coordinated the consolidation and input of diamond data for the period from 2006 to 2013 and handed the database over to the General Director of the Ministry of Mines, Energy and Hydrology and the KP Permanent Secretariat to help fulfill a key requirement of the Operational Framework conditions imposed by the (KP). In addition, PRADD II worked closely with the mining authorities to prepare reforms in the collection of diamond production and marketing data required of the Kimberley Process Certification Scheme (KPCS) and procured e-tablets and GPS units for data collections and geo-referencing of artisanal diamond mining sites. These reforms have now been codified within the ministry and are the basis of decision making matrices spelling out for the first time how and when data should be collected. PRADD II has contributed to the establishment of the national and local Monitoring Committees required by the KP, but at the national level this structure remains weak due to governance challenges in CAR.</p>
<h3>ADVANCING SOCIAL COHESION</h3>
<p>A one-month long field diagnostic on the evolution of the artisanal diamond mining economy and its contributions to social cohesion was completed in mid-2016, and principle findings were presented at a workshop convened by the Ministry of Mines, Energy, and Hydrology. The influential study spells out ways to use traditional African conflict resolution approaches to help resolve outstanding disputes between ethnic and religious groups in diamond mining communities. Following this study, PRADD II is working with international non-governmental organizations specializing in conflict management to bring their focus and work to these diamond mining communities.</p>
<h3>STRENGTHENING THE ROLE OF CIVIL SOCIETY</h3>
<p>PRADD II partnered with an international research center to hold a workshop with 25 civil society organizations on the dynamics of the artisanal diamond economy within the broader mining sector. For the first time ever, civil society was actively solicited by the Ministry of Mines to learn more about the complex diamond economy and to play a constructive, informed, and active role in advocating transparency in the diamond mining sector.</p>",,2013,2018,USD 18900000,https://www.land-links.org/project/property-rights-artisanal-diamond-development-ii-central-african-republic/,CAF,USAID,,,
,Property Rights and Artisanal Diamond Development II: Côte d’Ivoire,"<p>The <b>Property Rights and Artisanal Diamond Development (PRADD) II</b> program will build on the successes of the predecessor <a href=""/project/property-rights-and-artisanal-diamond-development-central-african-republic"" target=""_blank"" rel=""noopener"">PRADD</a> project that was implemented under the Property Rights and Resource Governance Task Order. PRADD and PRADD II were developed to support country compliance with the <a href=""http://www.kimberleyprocess.com/"" target=""_blank"" rel=""noopener"">Kimberley Process</a> (KP), “a joint governments, industry and civil society initiative to stem the flow of conflict diamonds – rough diamonds used by rebel movements to finance wars against legitimate governments.”</p>
<p>The overarching goal of PRADD and PRADD II are to increase the percentage of diamonds entering the legal chain of custody, while improving the livelihoods of artisanal diamond mining communities. PRADD II is financed through a Congressional Earmark in support of the Clean Diamond Trade Act and managed by USAID’s Land Tenure and Property Rights Division within the E3 Bureau. The LTPR Division closely coordinates with the US Department of State and US Geological Survey who also provide support to the KPCS.</p>
<p>PRADD II will continue to be a landmark program for the United States Government (USG), the Kimberley Process and the development community at large. PRADD was one of the first and largest development projects concentrated on the Kimberley Process and artisanal diamond mining challenges. Significantly, PRADD has been instrumental in helping the KPCS modify its goals from a narrow focus on traceability, regulation and enforcement systems to a broader focus recognizing the role of economic development in bringing rough diamonds into legitimate chains of custody, and consequently better addressing the challenges of conflict diamonds. This transition is demonstrated by the recent adoption of the <a href=""/sites/default/files/Washington_Declaration_Kimberley_Process_Implementation.pdf"" target=""_blank"" rel=""noopener"">Washington Declaration</a> at the 2012 Kimberley Process Plenary meetings that occurred in November in Washington, DC. Due to the limited number of development institutions and experiences in the artisanal mining sector, PRADD II will continue to test and evaluate approaches to achieving its objectives while also consolidating program successes, to encourage other donors and governments to implement PRADD-type programs to achieve KPCS objectives.</p>
<p><a href=""/project/property-rights-and-artisanal-diamond-development-ii-guinea"" target=""_blank"" rel=""noopener"">PRADD II also operates in Guinea</a>.</p>",,2013,2018,USD 18900000,https://www.land-links.org/project/property-rights-and-artisanal-diamond-development-ii-cote-divoire/,CIV,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Property Rights and Artisanal Diamond Development II: Guinea,"<p>The <b>Property Rights and Artisanal Diamond Development (PRADD) II</b> program will build on the successes of the predecessor <a href=""/project/property-rights-and-artisanal-diamond-development-guinea"" target=""_blank"" rel=""noopener noreferrer"">PRADD</a> project that was implemented under the Property Rights and Resource Governance Task Order. PRADD and PRADD II were developed to support country compliance with the Kimberley Process Certification Scheme (KPCS). The overarching goal of PRADD and PRADD II are to increase the percentage of diamonds entering the legal chain of custody, while improving the livelihoods of artisanal diamond mining communities. PRADD II is financed through a Congressional Earmark in support of the Clean Diamond Trade Act and managed by USAID’s Land Tenure and Property Rights Division within the E3 Bureau. The LTPR Division closely coordinates with the US Department of State and US Geological Survey who also provide support to the KPCS.</p>
<p>PRADD II will continue to be a landmark program for the United States Government (USG), the Kimberley Process and the development community at large. PRADD was one of the first and largest development projects concentrated on the Kimberley Process and artisanal diamond mining challenges. Significantly, PRADD has been instrumental in helping the KPCS modify its goals from a narrow focus on traceability, regulation and enforcement systems to a broader focus recognizing the role of economic development in bringing rough diamonds into legitimate chains of custody, and consequently better addressing the challenges of conflict diamonds. This transition is demonstrated by the recent adoption of the <a href=""/sites/default/files/Washington_Declaration_Kimberley_Process_Implementation.pdf"" target=""_blank"" rel=""noopener noreferrer"">Washington Declaration</a> at the 2012 Kimberley Process Plenary meetings that occurred in November in Washington, DC. Due to the limited number of development institutions and experiences in the artisanal mining sector, PRADD II will continue to test and evaluate approaches to achieving its objectives while also consolidating program successes, to encourage other donors and governments to implement PRADD-type programs to achieve KPCS objectives.</p>
<p><a href=""/project/property-rights-and-artisanal-diamond-development-ii-c%C3%B4te-divoire"" target=""_blank"" rel=""noopener noreferrer"">PRADD II also operates in Cote d’Ivoire</a>.</p>",,2013,2016,USD 18900000,https://www.land-links.org/project/property-rights-and-artisanal-diamond-development-ii-guinea/,GIN,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Property Rights and Artisanal Diamond Development: Central African Republic,"<p><b>Property Rights and Artisanal Diamond Development (PRADD)</b> contributes to the improvement of artisanal diamond miner and community livelihoods by piloting methods to achieve secure rights to land and resources. The project works closely with the Governments of the Central African Republic to strengthen compliance with the Kimberley Process Certification Scheme, a mechanism to trace conflict diamonds from the point of origin to processing.</p>
<h2>Objectives</h2>
<ul>
<li>Clarify and formalize rights to land and natural resources;</li>
<li>Improve monitoring the production and sale of diamonds;</li>
<li>Increase the benefits accruing to mining communities;</li>
<li>Strengthen capacity to mitigate environmental damage; and,</li>
<li>Improve stakeholders’ access to crucial information.</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Since 2009, the Government of the Central African Republic has certified over 2,849 artisanal diamond mining claims.</li>
<li>In 2011, diamond production from PRADD project areas reached 68% of the total national production, up from 5.4% in 2010.</li>
<li>591 exhausted diamond mines have been rehabilitated for other productive uses; 361 have been converted into fishponds, 176 into vegetable gardens and 54 into fruit tree orchards.</li>
<li>Household incomes in project groups are 9 times higher in 2011, compared with 2010 income figures.</li>
</ul>",,2008,2013,USD 7500000,https://www.land-links.org/project/property-rights-and-artisanal-diamond-development-central-african-republic/,CAF,USAID,,Land Conflicts;Socio-Economic & Institutional Context,development;land conflicts;land governance;sustainable development
,Property Rights and Artisanal Diamond Development: Liberia,"<p><b>Property Rights and Artisanal Diamond Development (PRADD)</b> contributes to the improvement of artisanal diamond miner and community livelihoods by piloting methods to achieve secure rights to land and resources. The project works closely with the Governments of Liberia to strengthen compliance with the Kimberley Process Certification Scheme, a mechanism to trace conflict diamonds from the point of origin to processing. This project also operates in the <a href=""/country-profile/central-african-republic/"" target=""_blank"">Central African Republic (CAR)</a>.</p>
<h2>Objectives</h2>
<ul>
<li>Clarify and formalize rights to land and natural resources;</li>
<li>Improve monitoring the production and sale of diamonds;</li>
<li>Increase the benefits accruing to mining communities;</li>
<li>Strengthen capacity to mitigate environmental damage; and,</li>
<li>Improve stakeholders’ access to crucial information.</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Geo-referenced over 500 claims in Lofa Bridge and Weasua areas and used GPS coordinates to create an artisanal mining cadastre for the government.</li>
<li>Recommended 20 changes to policies, laws, regulations and procedures to secure tenure rights, improve the licensing system, increase the amount of diamonds entering the formal chain of custody, increase benefits for miners, and promote environmental rehabilitation. All of these recommendations have been accepted by the Government of Liberia.</li>
<li>Provided training to 108 participants in conflict resolution and 507 miners in production and sales record-keeping.</li>
</ul>",,2010,2012,USD 2600000,https://www.land-links.org/project/property-rights-and-artisanal-diamond-development-liberia/,LBR,USAID,,Land Conflicts;Socio-Economic & Institutional Context,development;land conflicts;land governance;sustainable development
,Property Rights and Artisanal Diamond Development: Guinea,"<p><b>The Property Rights and Artisanal Diamond Development (PRADD)</b> project was designed to identify, clarify, and reinforce property rights to land and minerals at alluvial diamond mining pilot sites. PRADD aimed to demonstrate that by strengthening property rights alluvial diamonds will be brought into the chain of custody, and local benefits from production and marketing of alluvial diamonds will increase.</p>",,2008,2009,USD 1261087,https://www.land-links.org/project/property-rights-and-artisanal-diamond-development-guinea/,GIN,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Property Rights and Natural Resource Management: Global,"<p><b>Property Rights and Natural Resource Management (GLT 2)</b> provided short- and medium-term technical assistance to address land tenure and property rights issues related to strategic programming/results frameworks, impact monitoring and assessments, tailored tenure and property rights training courses, tenure and property rights assessments, land tenure, and conflict mitigation, among other services. The team conducted a systematic review of lessons learned and best practices in the sequencing of land tenure and property rights reform worldwide.</p>",,2004,2008,USD 5615513,https://www.land-links.org/project/property-rights-and-natural-resource-management-global/,001,USAID,"Land Use, Management & Investment","Land Conflicts;Land, Climate change & Environment",land conflicts;sustainable land management;climate change;land governance;environment;natural resources management
,Property Rights and Resource Governance: Global,"<p>The Property Rights and Resource Governance (PRRG) Project was a six-year global program focused on efforts to support property rights and natural resources governance. This program included the development of analytical tools that USAID used to support land tenure and property rights (LTPR) programming. Specifically, these focused on LTPR assessments, LTPR impact evaluations, LTPR sequencing, and the specific nuance associated with LTPR and women/vulnerable groups, and LTPR and post-conflict/stabililzation settings. This program also contained a strong knowledge management component, dedicated to helping the Agency capture and learn from lessons and best practices evolving in this realm of international development. This program also developed training courses and tools for USAID and US Government programming personnel and their partners in Washington, D.C., and in USAID programming regions worldwide.</p>",,2007,2013,USD 7000000,https://www.land-links.org/project/property-rights-and-resource-governance-global/,001,USAID,,,
,Resilience and Economic Growth in the Sahel – Enhanced Resilience,"<p>USAID’s Resilience and Economic Growth in the Sahel – Enhanced Resilience (REGIS-ER) program works to increase the resilience of chronically vulnerable people, households, communities and systems in targeted agro-pastoral and marginal agriculture livelihood zones in Niger and Burkina Faso. This will be achieved through three interwoven objectives: increased and sustainable well-being, strengthened institutions and governance, and improved nutrition and health. Each of these objectives constitutes a core component of the REGIS-ER program.</p>
<p>Given its importance to incentivizing intensification, facilitating diversification and mitigating conflict, one component of REGIS-ER will actively facilitate effective land tenure policy implementation. Gender, youth, climate change adaptation, information communication technology and functional literacy are cross-cutting themes that are integrated into all three components.</p>
<h2>Objectives</h2>
<ul>
<li>Enable effective, flexible and inclusive natural resource management capable of adapting to changing conditions associated with population pressure and climate change.</li>
<li>Secure access to land, including by the marginalized groups such as agro-pastoralists, women and the most vulnerable.</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>Policy implementation that enables secure access to land, including by the marginalized groups such as agro-pastoralists, women and the most vulnerable</li>
<li>Improved capacity of community based governance structures, civil society organizations and local government institutions to manage natural resources (e.g., forests, pasture, water points)</li>
<li>Improved capacity of community-based governance structures and traditional leaders to prevent and resolve conflict through the transparent and consensual management of natural resources (e.g., grazing corridors)</li>
<li>Effective and community and government co-owned natural resource management plans developed and implemented at the community and landscape and watershed levels that incorporate climate change</li>
<li>Increased capacity of state and non-state governance institutions to manage climate variability and change</li>
<li>Consolidation of lessons learned from locally developed and implemented natural resource management plans and use of these lessons inform and (re)shape national-level policy</li>
</ul>",,2015,2018,,https://www.land-links.org/project/resilience-and-economic-growth-in-the-sahel-enhanced-resilience/,BFA;NER,USAID,,Socio-Economic & Institutional Context,development;sustainable development
