Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data Provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License
13;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:13;Payments for soil carbon sequestration – “Smallholders and the climate could lose out”;More than three times as much carbon is stored in soils across the world as it is in the atmosphere, making them one of the most important global carbon sinks. Therefore, processes impacting on the soil in which carbon is released, such as deforestation or agricultural activities, significantly contribute to climate change. The debate on the reduction of greenhouse gas emissions from agricultural activities and their consideration in the international climate negotiations has brought soils as carbon reservoirs more to the public eye.;Marcus Kaplan;;DLG-Verlag;Rural21;2013/08;English;"sustainable land management; farmers; farming systems; agriculture; agricultural land management; environment; climate change; deforestation";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/payments-for-soil-carbon-sequestration-smallholders-and-the-climate-could-lose-out-0000824/;http://www.rural21.com/uploads/media/rural2013_03-S31-31.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/Kaplan.jpg;All rights reserved
14;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:14;Why the Green Revolution failed in sub-Saharan Africa;Crop yield improvement is dearly needed in sub-Saharan Africa, but remarkably, African farmers do not adopt the available ‘Green Revolution’ fertiliser technologies. This has many reasons, a crucial one being soil properties.;Roelf L. Voortman;;DLG-Verlag;Rural21;2013/08;English;"farmers; sustainable land management; farming systems";Land, Climate change & Environment;Land Use, Management & Investment;Sub-Saharan Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/why-the-green-revolution-failed-in-sub-saharan-africa-0000822/;http://www.rural21.com/uploads/media/rural2013_03-S32-33.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/33_Grafik_rurale_2013_3.jpg;All rights reserved
15;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:15;Integrated Soil Fertility Management – a concept that could boost soil productivity;Soils are naturally poor in sub-Saharan Africa, and poor management has further reduced their productive capacity. The author argues that more fertiliser use is required to reverse further nutrient mining and productivity decline and that this agro-input is best used in combination with other measures to ensure that most of its nutrients are taken up by the crop.;Bernard Vanlauwe;;DLG-Verlag;Rural21;2013/08;English;"sustainable land management; land management; farmers";Land, Climate change & Environment;Land Use, Management & Investment;Sub-Saharan Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/integrated-soil-fertility-management-a-concept-that-could-boost-soil-productivity-0000821/;http://www.rural21.com/uploads/media/rural2013_03-S34-37.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/Acloserlook_Soilfertility.jpg;All rights reserved
16;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:16;Experience with the System of Rice Intensification in Timor Leste;The System of Rice Intensification (SRI) is a natural resource management technology that has supporters and opponents. Evidence of the technology’s impacts is mixed. Recent research results from Timor Leste suggest that SRI can improve yields and incomes of smallholder farmers when proper extension systems are in place.;"Martin Noltze; Stefan Schwarze; Matin Qaim";;DLG-Verlag;Rural21;2013/08;English;"natural resources management; land management; sustainable land management; farmers; farming systems";Land, Climate change & Environment;Land Use, Management & Investment;Timor Leste;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/experience-with-the-system-of-rice-intensification-in-timor-leste-0000820/;http://www.rural21.com/uploads/media/rural2013_03-S38-40.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/38_Grafik_rurale_2013_3.jpg;All rights reserved
17;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:17;Revival for Zimbabwe’s meat market;Zimbabwe used to be well-known for its high-quality meat exports. The sector was hard hit by the economic crisis that set in during the 1990s and coincided with the impact of a failed land reform and recurrent drought. Now, a new livestock-fattening scheme is to contribute to the survival of the branch and help resource-poor smallholders earn a living by marketing their meat.;"Rüdiger Behrens; Marjorie Chaniwa; Indira Maturure; Roy Miller";;DLG-Verlag;Rural21;2013/08;English;"environment; land reform; land environment; farming systems; sustainable land management";Land, Climate change & Environment;Land Use, Management & Investment;Zimbabwe;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/revival-for-zimbabwes-meat-market-0000819/;http://www.rural21.com/uploads/media/rural2013_03-S41-43.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/41_Grafik_rurale_2013_3.jpg;All rights reserved
1;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:1;Madrid High-Level Meeting on Food Security for All;At the High-Level Meeting on Food Security for All hosted in early January 2009 by the Spanish government in Madrid, stakeholders from more than 126 countries deliberated how to assure food security for all in developed and developing countries alike. The high level meeting carried forward the process launched by the June 2008 Rome food summit. Its purpose was to accelerate progress in meeting MDG 1 and address the effects of price fluctuations in vulnerable populations. The final report established the following outcomes:;Silvia Richter;;DLG-Verlag;Rural21;2011/03;English;"food security; forest land; forestry; land management; development agencies";"Land & Food Security; Forest Tenure; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/world-food-crisis/madrid-high-level-meeting-on-food-security-for-all/;;;All rights reserved
2;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:2;The response of FIAN International;The outcome of the Madrid High-Level Meeting on Food Security can be considered a victory for those who want to see the multilateral governance of the global food and agriculture system improved and strengthened, and conducted within the Right to Adequate Food framework.;Flavio Luiz Schieck Valentex;FIAN International;DLG-Verlag;Rural21;2011/03;English;"food security; land governance; agricultural land management; agriculture; forest land";"Land & Food Security; Forest Tenure; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/world-food-crisis/the-response-of-fian-international/;;;All rights reserved
3;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:3;Our precious resource;The importance of forests for climate change mitigation and species conservation, as water stores and oxygen producers, soil protectors and humus providers, is well known. However, over 13 million hectares of forest are lost each year, mainly in the tropics. ;Johannes Kirchgatter;World Wildlife Fund;DLG-Verlag;Rural21;2011/03;English;"forest land; climate change; environment; sustainable land management; deforestation; forest conservation";"Forest Tenure; Land, Climate change & Environment";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/focus/our-precious-resource/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_8-10_01.pdf;;All rights reserved
4;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:4;Why a sustainable forest policy is so difficult;Establishing a rational forest policy is a difficult task for many countries. One of the reasons for this is that different policy sectors - such as energy policy, foreign trade policy, are closely linked to forest policy and the interests of a multitude of actors need to be accommodated. Moreover, the unregulated exploitation of forests promises large profits. ;Dr Erich Mies;GIZ;DLG-Verlag;Rural21;2011/03;English;"forestry; forest land; land policies; land governance";Forest Tenure;Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/focus/why-a-sustainable-forest-policy-is-so-difficult/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_11-15_01.pdf;;All rights reserved
5;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:5;Certification - the magic bullet?;Certification is viewed as one of the most effective ways of curbing unregulated logging and conserving natural forests in the tropics. In the meantime, there are several dozen certifying organisations. Among these, the Forest Stewardship Council (FSC) and the Programme for the Endorsement of Forest Certification (PEFC) lead the field worldwide.;Silvia Richter;;DLG-Verlag;Rural21;2011/03;English;"forest conservation; forest land; sustainable land management";"Forest Tenure; Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/focus/certification-the-magic-bullet/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_08.pdf;;All rights reserved
6;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:6;A forest conservation network: the experience of the Congo Basin Forest Partnership;The Congo Basin Forest Partnership aims to reconcile forest conservation with forest use. This article explains what a “policy network” of this sort can achieve and where its limits lie. ;Dr. Hans Schipulle;;DLG-Verlag;Rural21;2011/03;English;"forest conservation; forest land; sustainable land management; land use; land policies";"Forest Tenure; Land, Climate change & Environment";"Land Use, Management & Investment; Land Policy & Legislation";Congo;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/focus/a-forest-conservation-network-the-experience-of-the-congo-basin-forest-partnership/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_17-19_01.pdf;;All rights reserved
7;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:7;Peru: Preserving tropical forests with a focus on sustainable and participatory development;Against the backdrop of increasing deforestation in Natural Protected Areas due to illegal logging and shifting agriculture, the Peruvian association DRIS has implemented a programme in three districts of the country. The goal is to involve the families in forest protection activities while simultaneously providing them with income opportunities;"Renato Ríos; Sandro Chávez";;DLG-Verlag;Rural21;2011/03;English;"forest conservation; deforestation; sustainable development";Forest Tenure;Land Use, Management & Investment;Peru;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/focus/peru-preserving-tropical-forests-with-a-focus-on-sustainable-and-participatory-development/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_20-22_01.pdf;;All rights reserved
8;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:8;Fuelwood: a high-potential renewable resource!;In rural areas of many developing countries fuelwood constitutes the only energy source – often with negative impacts on humans and the environment. Wise management and modern technology can guarantee a sustainable use of this valuable resource, as some examples from Latin America demonstrate. ;"César Alvarado; Dr Erich Mies";;DLG-Verlag;Rural21;2011/03;English;"rural development; forest land; sustainable land management; environment; land use";"Forest Tenure; Land, Climate change & Environment";Land Use, Management & Investment;Latin America & the Caribbean;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/focus/fuelwood-a-high-potential-renewable-resource/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_23-25_01.pdf;;All rights reserved
9;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:9;Woodfuels in Kenya and Rwanda: powering and driving the economy of the rural areas;The number of woodfuel consumers in Africa is projected to increase from around 2.5 billion in 2004 to 2.7 billion by 2030, with sub-Saharan Africa accounting for the highest increase. Rwanda and Kenya are two good examples of countries in which woodfuel plays a key role in energy provision, poverty alleviation and economic development.;"Geoffrey Ndegwa; Dr Thomas Breuer; Prof. Dr Johannes Hamhaber";;DLG-Verlag;Rural21;2011/03;English;"forest land; poverty; sustainable development; agricultural land management";Forest Tenure;Land Use, Management & Investment;"Rwanda; Kenya";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/focus/woodfuels-in-kenya-and-rwanda-powering-and-driving-the-economy-of-the-rural-areas/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_26-30_01.pdf;;All rights reserved
10;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:10;Green light for REDD+;"Every year, 13 million hectares of forest are lost worldwide; that is an area the size of Austria and Switzerland combined. 90 percent of this deforestation involves tropical forests. Forest loss has devastating effects on the climate and is the source of between 15 and 20 percent of global greenhouse gas emissions. If global warming is to be kept below the critical threshold of two degrees Celsius, forest loss and degradation must be halted without delay";Hermine Kleymann;World Wildlife Fund;DLG-Verlag;Rural21;2011/03;English;"deforestation; forest conservation; climate change; environment; land environment; land degradation; land governance; sustainable land management";"Forest Tenure; Land, Climate change & Environment";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/opinion/green-light-for-redd/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_07.pdf;;All rights reserved
11;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:11;On the reform debate over the EU Common Agriculture Policy:;On November 18th 2010, the European Union Commissioner for Agriculture and Rural Development, Dacian Ciolo?, o?  cially submitted a communiqué proposing a reorientation of the Common Agricultural Policy (CAP) to the EU Parliament, the EU Council and the public. What does the proposal imply for global agricultural markets and international food matters? Some re? ections.;Rudolf Buntzel;;DLG-Verlag;Rural21;2011/03;English;"land reform; rural development; agriculture; development agencies; food security; agricultural land management; land management";"Forest Tenure; Land Stakeholders & Institutions";Land Policy & Legislation;"Global; Europe";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/international-platform/on-the-reform-debate-over-the-eu-common-agriculture-policy/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_32-35_01.pdf;;All rights reserved
12;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:12;Developing Zambia's agriculture: a hard road to hoe;Zambia’s small-scale farmers are even poorer today than they were 40 years ago. According to the 2010 Human Development Report, Zambia is one of just three nations whose development has fallen behind 1970 levels. And yet Zambia is one of Africa’s “lion states” with annual economic growth rates of more than 5 percent. It is not easy to explain such a contradiction, but a DIE study is drawing closer to ? nding an answer.;Susanne Neubert;;DLG-Verlag;Rural21;2011/03;English;"farmers; farming systems; rural development; sustainable development; agriculture; agricultural land management";Forest Tenure;Land Use, Management & Investment;Zambia;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/international-platform/developing-zambias-agriculture-a-hard-road-to-hoe/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_36-38_01.pdf;;All rights reserved
13;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:13;Carbon labels - pitfalls for developing countries?;Carbon labels for food are a new strategy of industrialised countries to reduce climate change-relevant gas emissions in agriculture. However, not every label includes the measurement of all emissions and may disadvantage and even exclude exporting farmers from developing countries. Policy-makers should reconsider this approach or at least focus on fair and non-discriminatory labels.;"Tina Beuchelt; Dr Detlef Virchow";;DLG-Verlag;Rural21;2011/03;English;"food security; climate change; environment; agriculture; agricultural land management; sustainable land management; farmers; land policies";"Forest Tenure; Land, Climate change & Environment; Land & Food Security";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/international-platform/carbon-labels-pitfalls-for-developing-countries/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_39-41_01.pdf;;All rights reserved
14;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:14;Tuning in to consumers: Tailoring African rice value chains to urban markets;In response to the 2008 food crisis, Senegal developed an ambitious food self-sufficiency programme which aims to entirely cover national rice consumption needs with local rice by 2015, mainly through massive investments in existing and new rice perimeters in the Senegal River Valley (SRV). ;"Amy C. Rizzotto; Matty Demont";;DLG-Verlag;Rural21;2011/03;English;"food security; agriculture; agricultural land management; land governance";Forest Tenure;Land Use, Management & Investment;Senegal;Journal Articles & Books;;;;All rights reserved
15;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:15;Computers in the cassava field;Cassava is the main staple crop in many African countries, but the crops are threatened by two major diseases, the cassava mosaic virus disease and cassava brown streak virus, which in the last years have destroyed almost 80 percent of cassava harvests in Africa.;;New Agriculturist;DLG-Verlag;Rural21;2011/03;English;"agriculture; agricultural land management; farming systems";Forest Tenure;Land Use, Management & Investment;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/scientific-world/computers-in-the-cassava-field/;;;All rights reserved
16;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:16;Organic prawns from Bangladesh;King prawns are a delicacy worldwide, but some breeding processes are responsible for extensive environmental damage, especially in mangrove forests. The widespread use of antibiotics also has a negative impact on human health. The cultivation of 'organic prawns' could be a real alternative.;;TTZ Bremerhaven;DLG-Verlag;Rural21;2011/03;English;"agriculture; agricultural land management; environment; forest land; forest conservation";Forest Tenure;Land Use, Management & Investment;Bangladesh;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/scientific-world/organic-prawns-from-bangladesh/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_05.pdf;;All rights reserved
17;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:17;Livestock surge may harm human health;Livestock intensification in developing countries, especially in Africa and Asia, may increase the incidence of epidemics that kill both humans and animals, the International Livestock Research Institute (ILRI) warns. Livestock numbers are rising sharply due to population growth and the rise in affluence, as both factors lead to increased demand for milk, meat and eggs. ;;TTZ Bremerhaven;DLG-Verlag;Rural21;2011/03;English;"agriculture; livestock; farming systems";Forest Tenure;Land Use, Management & Investment;"Global; Africa; Asia";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/scientific-world/livestock-surge-may-harm-human-health/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_04.pdf;;All rights reserved
18;Responsible use of forests;Rural21-Vol:45-Nr:2/2011-Article:18;African knowledge portal launched;In January 2011 the South African Institute of International Affairs (SAIIA) launched an online knowledge resource offering researchers and opinion leaders easy access to research and information on Africa. The Africa Portal will establish a forum to share important insights on Africa with policymakers and the general public, explained SAIIA. ;;Africa Portal;DLG-Verlag;Rural21;2011/03;English;"land policies; land governance";;;"Africa; South Africa";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-02en/scientific-world/african-knowledge-portal-launched/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_2011_2_02.pdf;;All rights reserved
1;People on the move;Rural21-Vol:45-Nr:1/2011-Article:1;Rural development in an urbanising world;Rural development and urbanisation are often seen as competing, but in most cases are intimately linked. It is essential that policies re? ect and support the many positive links between rural and urban areas, enterprises and people. This in turn requires a better understanding of urbanisation processes and the role of small towns.;Cecilia Tacolin;International Institute for Environment and Development;DLG-Verlag;Rural21;2011/01;English;"rural development; urbanization; land policies; rural development; land development (urbanization); urban areas; urban population; rural population";Urban Tenure;Access to Land & Tenure Security;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/focus/rural-development-in-an-urbanising-world/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Rural_development_in_an_urbanising_world_01.pdf;;All rights reserved
2;People on the move;Rural21-Vol:45-Nr:1/2011-Article:2;International migration flows: key data and trends;Migration is a huge phenomenon. The share of migrants in industrial countries’ populations doubled over the past three decades, and remittances ? ows to developing countries are larger than foreign investment or overseas aid. In many developing countries the percentage of the population working abroad and the percentage of Global Domestic Product (GDP) represented by remittances run into double digits.;Isolina Boto;Technical Centre for Agricultural and Rural Co-operation ACP-EU;DLG-Verlag;Rural21;2011/01;English;"land investments; rural development; rural population; development agencies; sustainable development";Land & Investments;;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/focus/international-migration-flows-key-data-and-trends/;http://www.rural21.com/fileadmin/_migrated/content_uploads/International_migration_flows_03.pdf;;All rights reserved
3;People on the move;Rural21-Vol:45-Nr:1/2011-Article:3;Zimbabwean migrants destabilise the north of South Africa;The sheer number of refugees from Zimbabwe puts a heavy burden on the province of Limpopo in South Africa. These new arrivals strain the already weak structure of the local labour market. The result is frustration and bitterness for local people.;Thomas Scheen;;DLG-Verlag;Rural21;2011/01;English;"land conflicts; landlessness; local community; rural population; sustainable development";Land Conflicts;Access to Land & Tenure Security;Zimbabwe;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/focus/zimbabwean-migrants-destabilise-the-north-of-south-africa/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Zimbabwean_migrants_01.pdf;;All rights reserved
4;People on the move;Rural21-Vol:45-Nr:1/2011-Article:4;The role of local migration in African development;Surveys over several years in the Kagera region of Tanzania have shown that migration has a positive impact on people's living standards, even for those who remain in agriculture. On the other hand, there is evidence of migrants ending up in unfavourable social environments and perhaps even that the traditional home communities are protecting their livelihood and survival by setting up subtle exit barriers, in the form of norms, preventing migration of their most productive members. So, should migration be encouraged at all costs?;Joachim De Weerdt;;DLG-Verlag;Rural21;2011/01;English;"rural development; sustainable development; rural population";;Access to Land & Tenure Security;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/focus/the-role-of-local-migration-in-african-development/;http://www.rural21.com/fileadmin/_migrated/content_uploads/International_migration_flows_02.pdf;;All rights reserved
5;People on the move;Rural21-Vol:45-Nr:1/2011-Article:5;Rural migrant workers in China;In today’s China, about 220 million rural migrant workers are on the move – this is more than two thirds of the US population – and their number is set to increase in the course of the country’s urbanisation process. At a rate of 47 percent, still below global average, and against the backdrop of a marked rural-urban divide, urbanisation is not only an effect of rapid economic development, but also forms part of the Chinese government’s economic development strategy.;Anja Weckwert;;DLG-Verlag;Rural21;2011/01;English;"rural development; rural population; urbanization; urban population; sustainable development; land governance; land policies";;Land Policy & Legislation;China;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/focus/rural-migrant-workers-in-china/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Rural_migrant_workers_in_China_01.pdf;;All rights reserved
6;People on the move;Rural21-Vol:45-Nr:1/2011-Article:6;Population dynamics and rural development in Burkina Faso;Labour migration, primarily to Côte d’Ivoire, masked the high rate of natural population growth in Burkina Faso for many years. However, since a political crisis began in this neighbouring country in late 1999, many Burkinabe have returned home. This posed major challenges, especially for rural areas. In the south of the country, shrewd population policy and appropriate rural development programmes have been e? ective in meeting these challenges.;"Werner Heuler-Neuhaus; Florent Dirk Thies";;DLG-Verlag;Rural21;2011/01;English;"rural development; rural population; land conflicts; land policies; land governance";Land Conflicts;"Land Policy & Legislation; Access to Land & Tenure Security";Burkina Faso;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/focus/population-dynamics-and-rural-development-in-burkina-faso/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Progress_through_crisis_01.pdf;;All rights reserved
7;People on the move;Rural21-Vol:45-Nr:1/2011-Article:7;Female migration: cultural and social change in Bangladesh;The debate about the e? ects of migration is still centred on economic aspects. However, the return of migrants also changes the society and cultures of their country of origin. These changes are particularly pronounced where women have emigrated and return to their communities after several years’ absence. ;Prof. Petra Dannecker;;DLG-Verlag;Rural21;2011/01;English;"rural development; rural population; women";Land & Gender;Access to Land & Tenure Security;Bangladesh;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/focus/female-migration-cultural-and-social-change-in-bangladesh/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Values_in_transition_01.pdf;;All rights reserved
8;People on the move;Rural21-Vol:45-Nr:1/2011-Article:8;Pinning hopes on rural youth;More and more young people are leaving the rural areas and migrating to the cities. Although the industrial and the developing nations come from different starting points, such migration ultimately has the same effect on village life and the rural areas everywhere. In the industrial nations the agricultural population is ageing. ;Nicole Podlinski;;DLG-Verlag;Rural21;2011/01;English;"rural population; rural development; youth; urbanization; urban areas";;;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/opinion/pinning-hopes-on-rural-youth/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Pinning_hopes_on_rural_youth_01.pdf;;All rights reserved
9;People on the move;Rural21-Vol:45-Nr:1/2011-Article:9;Adapting African agriculture to climate change;Climate change is one of the major threats to the development of rural Africa, and without wide-ranging adaptation strategies the challenge it presents cannot be met. Although appropriate measures have been identi? ed, international funding for adaptation has not materialised at the rate that was pledged. This is irresponsibly delaying the implementation of adaptation measures.;"Christine Chemnitz; Heike Höffler";;DLG-Verlag;Rural21;2011/01;English;"climate change; environment; rural development; land policies; sustainable development; agriculture; sustainable land management";Land, Climate change & Environment;Land Use, Management & Investment;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/international-platform/adapting-african-agriculture-to-climate-change/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Adapting_African_agriculture_05.pdf;;All rights reserved
10;People on the move;Rural21-Vol:45-Nr:1/2011-Article:10;Stone lines against desertification - a success story from Burkina Faso;Burkina Faso is already using all its possible farmland. In future the only way to feed the rapidly growing population will be by increasing yields on existing land. Building stone contour lines enables rainwater to be better used and slows erosion.;Melchior Landolt;;DLG-Verlag;Rural21;2011/01;English;"farmland; farming systems; rural population; sustainable land use";;Land Use, Management & Investment;Burkina Faso;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/international-platform/stone-lines-against-desertification-a-success-story-from-burkina-faso/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Stone_lines_against_desertification_01.pdf;;All rights reserved
11;People on the move;Rural21-Vol:45-Nr:1/2011-Article:11;Enhancing opportunities for local community development: Honey production in Mozambique;As part of its commitment to local community development in Mozambique, the Community Land initiative (iTC), a project financed by a group of European donors, is supporting part of a honey production chain in Mozambique, specifically in Sussundenga district, Manica province. The support consists of building capacity among local honey producers groups. ;José Monteiro;;DLG-Verlag;Rural21;2011/01;English;"local community; sustainable development; development agencies; agricultural land management; farming systems";Land Stakeholders & Institutions;Land Use, Management & Investment;Mozambique;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/international-platform/enhancing-opportunities-for-local-community-development-honey-production-in-mozambique/;http://www.rural21.com/fileadmin/_migrated/content_uploads/The_sweet_bite_of_the_bee_01.pdf;;All rights reserved
12;People on the move;Rural21-Vol:45-Nr:1/2011-Article:12;Guinea pigs: a guarantee of food security and a source of income in South Kivu, Democratic Republic of Congo;The years of war have led to a rapid decline in the nutritional status of people in the Democratic Republic of Congo. To cover their protein requirements, the rural population in the Kivu region in the east of the country have turned to raising guinea pigs. For many families these rodents are nowadays not just a vital element of their food security, but also an essential source of income.;Thierry Metre;;DLG-Verlag;Rural21;2011/01;English;"rural population; farming systems; agricultural land management; food security; land conflicts";"Land & Food Security; Land Conflicts";Land Use, Management & Investment;Democratic Republic of Congo;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/international-platform/guinea-pigs-a-guarantee-of-food-security-and-a-source-of-income-in-south-kivu-democratic-republic-of-congo/;http://www.rural21.com/fileadmin/_migrated/content_uploads/Small_healthy_highyielding_01.pdf;;All rights reserved
13;People on the move;Rural21-Vol:45-Nr:1/2011-Article:13;Tuning in to consumers: Tailoring African rice value chains to urban markets;In response to the 2008 food crisis, Senegal developed an ambitious food self-sufficiency programme which aims to entirely cover national rice consumption needs with local rice by 2015, mainly through massive investments in existing and new rice perimeters in the Senegal River Valley (SRV). It has yet to be seen, however, how the projected rice production boom will reach urban markets, where the product is often unknown or misconstrued. Therefore, in this article, we highlight the role of generic promotion programmes in tailoring emerging quality SRV rice value chains to urban consumer standards.;"Amy C. Rizzotto; Matty Demont";;DLG-Verlag;Rural21;2011/01;English;"food security; agriculture; suburban agriculture; agriculture; land management; farming systems";;Land Use, Management & Investment;Senegal;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/forum/tuning-in-to-consumers-tailoring-african-rice-value-chains-to-urban-markets/;;;All rights reserved
14;People on the move;Rural21-Vol:45-Nr:1/2011-Article:14;Green genetic engineering in Africa;Although the commercial cultivation of genetically modified (GM) plants in Africa has been relatively modest until now, a number of research and development projects in this field are already operating in several African countries. These involve breeding drought-tolerant, pest-resistant or nutrient-enriched maize, or cassava varieties with greater disease and pest resistance. ;;Biosicherheit;DLG-Verlag;Rural21;2011/01;English;"rural development; farming systems; agricultural land management";;Land Use, Management & Investment;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2011-01en/scientific-world/green-genetic-engineering-in-africa/;;;All rights reserved
