Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Overarching Categories;Themes;Resource types;Geographical focus;Link to the original website;Link to the publication;Thumbnail;License;ISSN
23;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:23;Changement climatique et famine: les «points chauds» sont identifiés;"Une équipe de scientifiques de l’International Livestock Research Institute (ILRI) a identifié toutes les zones à haut risque du monde dans lesquelles la famine et les conséquences négatives du changement climatique s’exacerberont particulièrement violemment. Ces régions sont principalement situées en Afrique et en Asie du Sud, mais la Chine et l’Amérique latine pourraient également être concernées. Dans moins de 40 ans, la saison agricole de ces régions sera plus courte, plus chaude et plus sèche, mettant en danger des centaines de millions de personnes déjà très démunies. 

Cette étude intitulée «Localiser les points chauds du changement climatique et de l’insécurité alimentaire dans les régions tropicales» a été rédigée dans le cadre du programme de recherche du CGIAR sur le changement climatique, l’agriculture et la sécurité alimentaire (CCAFS). Elle répond à un besoin urgent de concentrer les efforts d’adaptation au changement climatique sur les populations et les régions dont la production agricole et la sécurité alimentaire sont particulièrement menacées par la détérioration du climat. En analysant plusieurs modèles climatiques et des indicateurs de problèmes alimentaires, les chercheurs ont identifié des zones de grande vulnérabilité et créé une série de cartes détaillées. 
";;International Livestock Research Institute;DLG-Verlag;Rural21;2011/06;Français;"research; food security; climate change; land management; agriculture; agricultural land management; rural population; ";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions; Land & Food Security";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/monde-scientifique/changement-climatique-et-famine-les-points-chauds-sont-identifies/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_66-67_2-2011_01.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
1;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:1;La crise a atteint les populations les plus pauvres de la planète;Contrairement à l'idée reçue que la crise alimentaire de 2007-2008 et la crise économique mondiale n'auraient rien à voir l'une avec l'autre, cet article montre que les deux événements sont dus à des causes macroéconomiques comparables. Il montre en outre que les conséquences de ces deux phénomènes ont des effets cumulatifs qui atteignent les personnes les plus pauvres parmi les pauvres dont la plupart vivent dans les zones rurales des pays en développement ? soit plus d'un milliard quatre cent personnes extrêmement pauvres et plus d'un milliard de personnes qui souffraient de la famine en 2009. L'article explique par quelles interactions les conséquences de ces crises affectent les groupes de population les plus vulnérables au plan économique et exhorte la communauté internationale à réagir à cette situation en investissant davantage dans l'agriculture et le développement rural;Dr Christoph Kohlmeyer;;DLG-Verlag;Rural21;2010/06;Français;"food security; sustainable development; rural areas; rural development; poverty; development agencies; agriculture";;"Land Stakeholders & Institutions; Land & Food Security";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-la-crise-mondiale/la-crise-a-atteint-les-populations-les-plus-pauvres-de-la-planete/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_8-12_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
2;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:2;La responsabilité des pays industrialisés;"La crise financière initiale s'est développée pour devenir, en 2008, une crise économique mondiale. Cette crise non seulement exacerbe le problème aigu de la famine en réduisant toujours davantage le pouvoir d'achat des populations pauvres, mais encore menace de limiter pendant des années les possibilités de combattre la famine à long terme au moyen d'investissements et d'innovations.
 
Aussi est-il d'autant plus important, en particulier pour les pays les plus pauvres, qu'au moins les prestations de l'aide publique au développement des pays les plus riches en faveur des pays les plus pauvres ne soient pas réduites, mais soient au contraire augmentées. En tenant compte de la famine dans le monde, cette aide devrait en outre mettre davantage l'accent sur un développement du secteur agricole et des zones rurales axé sur la lutte contre la pauvreté. ";Heino von Meyer;;DLG-Verlag;Rural21;2010/06;Français;"food security; agriculture; poverty; sustainable development; land management; farming systems; development agencies; land policies";Land Use, Management & Investment;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-la-crise-mondiale/la-responsabilite-des-pays-industrialises/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_13-16_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
3;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:3;La dimension de la fragilité;L'Atelier « Crise alimentaire et potentiel de développement du secteur des produits agricoles et de base dans les États fragiles » était l'une des quatre manifestations qui se sont penchées sur les thèmes de la première édition du Rapport européen sur le développement 2009. Cet atelier s'est consacré aux problèmes de la sécurité alimentaire et du développement agricole dans les États africains fragiles. L'article fait référence aux documents et discussions de l'Atelier, illustre le principe de cause à effet des crises alimentaires et développe divers aspects se rapportant aux faiblesses du milieu rural et au rôle que celui-ci peut être amené à jouer dans le combat mené pour vaincre cette vulnérabilité. Il traite également des concepts de politique pertinents.;Sara Turchetti;;DLG-Verlag;Rural21;2010/06;Français;"development agencies; food security; rural development; farmers; sustainable development";Land Use, Management & Investment;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Africa;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-la-crise-mondiale/la-dimension-de-la-fragilite/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_17-19_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
4;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:4;L'Asie en développement face à la crise mondiale;"Les pays en développement d'Asie doivent faire face à l'année la plus difficile depuis la crise financière de 1997/1998. L'effondrement du commerce mondial suite à la crise économique globale a été lourd de conséquences pour les industries manufacturières de la région. Les ménages ruraux ont particulièrement souffert de ce recul en raison de la perte d'emplois hors du secteur agricole. Une action rapide des décideurs politiques de la région est nécessaire afin d'atténuer les conséquences de la crise, les incitations fiscales pouvant jouer un rôle important à cet égard. Les projets d'investissements publics, et notamment ceux qui visent à promouvoir l'infrastructure rurale (routes, installations d'irrigation, énergie), les moyens de transport publics et les logements à coût modéré peuvent, en association avec des programmes de sécurité sociale bien conçus, créer des emplois, réduire la pauvreté et stimuler la croissance économique. 
 
Face à la crise de 2009, la Banque asiatique de développement (BAD) a augmenté à 2 milliards de dollars US ses investissements dans le développement du secteur agricole et des zones rurales des pays asiatiques en développement.";"Shikha Jha; Joseph E. Zveglich, Jr.";;DLG-Verlag;Rural21;2010/06;Français;"sustainable development; rural development; land use planning; land investments; government purchases; development agencies";Land Use, Management & Investment;"Land Stakeholders & Institutions; Land & Investments";Journal Articles & Books;Asia;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-la-crise-mondiale/lasie-en-developpement-face-a-la-crise-mondiale/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_20-23_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
5;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:5;Eau et adaptation au changement climatique;"Le groupe des pays en développement est celui qui est le plus gravement menacé par les conséquences hydrologiques du changement climatique mondial. L'eau, qui constitue une ressource essentielle pour le développement, est affectée par le changement climatique de multiples manières complexes : variations de température et élévation du niveau des mers, changements intervenant au niveau de l'abondance des précipitations et fonte des champs de neige et des glaciers. Dans les régions menacées par la sécheresse, le Panel intergouvernemental sur le changement climatique qui fait autorité en la matière s'attend à un recul de 50 pour cent de la production agricole d'ici à 2020.
 
Les stratégies d'adaptation au changement climatique doivent tenir soigneusement compte des réalités régionales. Les mesures visant à maîtriser la raréfaction croissante des ressources en eau doivent, en l'occurrence, jouir de la plus haute priorité. Pour pouvoir mettre ces stratégies en ouvre, les pays en développement ont besoin d'un soutien fort de la communauté internationale. 
 
";"Mark Svendsen; Nana Künkel";;DLG-Verlag;Rural21;2010/06;Français;"sustainable development; climate change; environment; natural resources management; sustainable land management; development agencies";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-eau-et-changement-climatique/eau-et-adaptation-au-changement-climatique/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_24-28_1-2020_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
6;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:6;La gestion intégrée de l'eau par bassin versant;"Les ressources en eau et en terres s'amenuisent de plus en plus et répondent difficilement aux exigences alimentaires d'une population mondiale croissante. Dans les pays en développement des régions tropicales en particulier, la variabilité des conditions météorologiques associée à la productivité généralement basse de l'agriculture de subsistance représente une menace pour les sociétés rurales vulnérables ; l'accès à des équipements d'infrastructure et aux ressources naturelles devient de jour en jour plus difficile. Des concepts intégrés pour une gestion des ressources naturelles à la fois durable et respectueuse de l'environnement (GIEBV = gestion intégrée de l'eau par bassin versant ou GDT = Gestion durable des terroirs) présentent des résultats encourageants s'ils sont appliqués à grande échelle et sur une longue période comme c'est le cas au Tigré, province la plus septentrionale de l'Éthiopie. ";Professeur Gerd Förch;;DLG-Verlag;Rural21;2010/06;Français;"water management; natural resources management; rural development; agriculture; rural population; land access; environment";Land Use, Management & Investment;;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-eau-et-changement-climatique/la-gestion-integree-de-leau-par-bassin-versant/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_29-32_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
7;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:7;La récupération de l'eau au service de la sécurité alimentaire des ménages;"La pauvreté des ménages ruraux s'est aggravée sous l'effet de l'évolution mondiale au cours de ces deux dernières années : la hausse massive des prix des denrées alimentaires et des carburants a été suivie d'un effondrement de l'économie mondiale, tout cela dans un contexte d'incertitude croissante quant au climat. La « récupération de l'eau », c'est-à-dire la collecte de l'eau, son emmagasinage et son écoulement ciblé, permet de maintenir un certain équilibre dans la disponibilité de l'eau durant et entre les saisons de croissance des cultures et aide les ménages à mieux surmonter les périodes de sécheresse. Les recherches menées sur la récupération de l'eau en Afrique du Sud se sont concentrées sur les ménages ruraux. Dans de nombreux villages du pays, les résultats de ces recherches ont déjà conduit à la mise en application de technologies innovantes et adaptées de récupération de l'eau et à des mesures visant à accroître la sécurité alimentaire. 
";"Marna de Lange; Erna Kruger
";;DLG-Verlag;Rural21;2010/06;Français;"rural development; rural population; food security; water management; farming systems";Land Use, Management & Investment;;Journal Articles & Books;South Africa;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-eau-et-changement-climatique/la-recuperation-de-leau-au-service-de-la-securite-alimentaire-des-menages/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_33-35_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
8;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:8;Comment les petits exploitants peuvent-ils réagir au changement climatique ?;L'eau est un bien précieux dans les régions semi-arides du Rajasthan, en Inde. En outre, le changement climatique exerce une pression supplémentaire sur les ressources rares. Des précipitations irrégulières, voire inexistantes, obligent un grand nombre de petits paysans à abandonner au moins temporairement leurs champs, afin de chercher du travail dans les villes. Des projets de gestion des ressources en eau reposant sur la participation, comme dans le village de Bhipur, la réalisation de cultures ayant des besoins en eau modestes de même que des pratiques agricoles plus durables sont autant de stratégies d'adaptation qui permettent aux paysans de maintenir leurs activités en dépit des aléas climatiques. À l'avenir, l'adaptation sera essentielle pour prévenir l'exode rural et garantir la sécurité alimentaire de la population.;"Kaspar Akermann; Lea Herberg;
Anna Kalisch
";GIZ;DLG-Verlag;Rural21;2010/06;Français;"water management; water rights; climate change; natural resources management; sustainable land management; environment";Land Use, Management & Investment;Land, Climate change & Environment;Journal Articles & Books;India;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-eau-et-changement-climatique/comment-les-petits-exploitants-peuvent-ils-reagir-au-changement-climatique/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_37-39_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
9;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:9;Le défi de l'élevage;"Dans les pays en développement, l'élevage représente plus d'un tiers du produit intérieur agricole brut ; la croissance et la transformation rapides du secteur de l'élevage dans de grandes régions de la planète ont débouché sur une amélioration des revenus et de la situation alimentaire d?un grand nombre de personnes. Cette « révolution de l'élevage » a cependant largement négligé les producteurs pauvres ; elle a, en outre, accru le risque de zoonoses et été à l'origine de dégradations environnementales. La croissance démographique, l'urbanisation et la hausse des revenus contribueront très probablement à accroître la demande de produits d'origine animale dans les pays en développement. La nécessité d'accroître les investissements publics dans les secteurs de l'agriculture et de l'élevage pour parvenir à une croissance durable et d'engager des mesures spécifiques pour garantir que les petits producteurs ne sont pas exclus est largement reconnue aujourd'hui. ";"Antonio Rota; Olaf Thieme
";"Food and Agriculture Organization of the United Nations (FAO); International Fund for Agricultural Development (IFAD)";DLG-Verlag;Rural21;2010/06;Français;"sustainable development; agriculture; land degradation; environment; urbanization; agricultural land management";Land Use, Management & Investment;Land, Climate change & Environment;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-lelevage/le-defi-de-lelevage/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_40-43_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
10;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:10;L'élevage et les OMD;Le développement de la production animale aide les pays en développement à remplir l'ensemble des huit objectifs du Millénaire pour le développement des Nations unies. Cependant, si elles sont mal gérées, les exploitations d'élevage peuvent porter atteinte à l'environnement, contribuer à la propagation de maladies infectieuses et mettre en danger la santé publique par le biais d'aliments dangereux. Nous pouvons veiller à tirer pleinement parti du potentiel de l'élevage pour atteindre ces OMD en favorisant des politiques, des stratégies et des technologies qui contribuent à accroître l'énorme bénéfice que l'élevage représente pour les communautés pauvres tout en maîtrisant les effets préjudiciables de ce dernier.;Nancy Johnson;;DLG-Verlag;Rural21;2010/06;Français;"sustainable development; rural development; farming systems; development agencies";;Land Stakeholders & Institutions;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-lelevage/lelevage-et-les-omd/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_44-47_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
11;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:11;L'élevage et l'environnement;L?élevage et la commercialisation d?animaux utiles permettent d?assurer quotidiennement la subsistance de plus d?un milliard de personnes. Mais aussi essentiels qu?ils soient pour l?alimentation, le revenu et la santé, ces systèmes d?élevage tropicaux peuvent autant altérer qu?améliorer les ressources en terres et en eau et génèrent, comme tous les systèmes d?élevage partout dans le monde, des gaz à effet de serre, qui contribuent au réchauffement climatique. Des recherches doivent permettre aux éleveurs pauvres de s?adapter au changement climatique, de trouver des méthodes durables pour intensifier la production et, si possible, d?adopter des méthodes appropriées permettant de réduire les effets négatifs de la production animale sur le changement climatique.;"Jeannette van de Steeg; An Notenbaert; Mario Herrero; Philip Thornton
";International Livestock Research Institute;DLG-Verlag;Rural21;2010/06;Français;"sustainable development; rural development; farming systems; development agencies; environment; climate change; sustainable land management; food security";Land Use, Management & Investment;"Land & Food Security; Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-lelevage/lelevage-et-lenvironnement/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_48-50_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
12;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:12;Le rôle de l'élevage dans l'agriculture africaine;L'élevage représente environ 35 pour cent du produit intérieur brut agricole des pays d'Afrique subsaharienne. La croissance attendue de la consommation de produits d'origine animale offre de bonnes chances d'améliorer les revenus et les moyens de subsistance des ménages pauvres tributaires de l'élevage. Les éleveurs pauvres doivent en même temps faire face à de nombreux défis. Les pauvres ne seront-ils pas mis sur la touche dans la concurrence visant à satisfaire la demande croissante de produits d'origine animale plus sûrs - Une réduction de l'engagement de l'État dans la fourniture de services de santé animale ne risque-t-elle pas de menacer les petits producteurs? Et les producteurs pauvres seront-ils en mesure de se conformer aux normes de qualité plus rigoureuses requises par l'agro-industrie et la grande distribution. L'accès limité aux terres, à l'eau et aux chaînes de commercialisation à fort potentiel ne deviendra-t-il pas un obstacle insurmontable à l'amélioration de la production animale à petite échelle. Une politique énergique en matière d'élevage est indispensable pour garantir l'accès aux ressources naturelles, accroître la production, la productivité, la valeur ajoutée et la stratégie de marque, et renforcer la compétitivité du secteur de l'élevage. ;Dr Simplice Nouala;;DLG-Verlag;Rural21;2010/06;Français;"agriculture; rural development; farming systems; farmers; ";Land Use, Management & Investment;;Journal Articles & Books;Sub Saharan Africa;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/theme-phare-lelevage/le-role-de-lelevage-dans-lagriculture-africaine/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_51-54_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
13;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:13;Comment la réponse des pays industrialisés à la crise aff ecte-t-elle les pays en développement ?;L'apparition de la crise financière internationale a fait naître l'espoir que celle-ci pourrait être utilisée comme une opportunité de réforme radicale du système économique mondial. Mais la riposte n'a pas été à la hauteur des attentes: les acteurs principaux se préoccupent surtout de leurs intérêts nationaux, une solution aux problèmes structurels à long terme de l'économie mondiale n?est pas en vue. En dépit de leurs appels en ce sens, les pays en développement ne peuvent pas miser sur une aide de l'extérieur. Afin de réduire leur vulnérabilité face aux crises à venir, ils devraient à présent saisir l'occasion de promouvoir des réformes internes, en particulier dans le domaine du développement rural. ;Dr Peter Wolff;;DLG-Verlag;Rural21;2010/06;Français;"land reform; land management; rural development; sustainable development";;;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/opinions/comment-la-reponse-des-pays-industrialises-a-la-crise-aff-ecte-t-elle-les-pays-en-developpement/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_55_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
14;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:14;Services environnementaux et changement climatique;La république du Ghana, l'une des démocraties africaines les plus stables, fait face à une surexploitation continue de ses ressources naturelles résultant en d'énormes pertes financières et de graves implications pour les populations pauvres. Le projet « Forêts tropicales et adaptation au changement climatique », financé par l'Union européenne, tente d'identifier des instruments appropriés pour le financement de mesures d'adaptation au changement climatique. L'un de ces outils de financement pourrait être le paiement pour services environnementaux ou PSE.;"Christian Staiss; Jens Boy; Bettina Kupper; Jane Mertens; Philipp Schwörer; Silvia Ullrich";;DLG-Verlag;Rural21;2010/06;Français;"climate change; natural resources management; sustainable land management; forest land; forest conservation; development agencies";Land Use, Management & Investment;Land, Climate change & Environment;Journal Articles & Books;Ghana;http://www.rural21.com/francais/archives-2005-2011/archive2010-01fr/plate-forme-internationale/services-environnementaux-et-changement-climatique/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_56-59_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
15;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:15;Investissement très convoité ou accaparement des terres indésirable ?;Si les investissements étrangers directs (IED) dans les terres arables peuvent stimuler la croissance économique, ils peuvent aussi, le cas échéant, affecter de manière négative la situation des revenus et la sécurité alimentaire de la population locale. À la lumière de la culture de caoutchouc au Laos, l'article montre comment les concessions et la culture sous contrat peuvent conduire à l'accaparement de terres par les investisseurs étrangers. Pour que les investissements étrangers directs (IED) puissent influer de façon positive sur le développement, il est impératif que les droits coutumiers des paysans sur les terres soient garantis, que les concessions soient inventoriées et que la population locale participe à la délimitation de nouvelles concessions.;Dr Babette Wehrmann;;DLG-Verlag;Rural21;2010/06;Français;"land investments; farmland; farmland; food security; local community; rural population; land grabbing; concession (land)";Access to Land & Tenure Security;Land & Investments;Journal Articles & Books;Lao;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/plate-forme-internationale/investissement-tres-convoite-ou-accaparement-des-terres-indesirable/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_60-63_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
16;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:16;L'or des femmes;L'arbre de karité pousse à l'état sauvage dans de vastes parties de l'Afrique de l'Ouest. Cet arbre aux exigences modestes se contente de peu d'eau et protège le sol contre l'érosion. Depuis toujours les femmes utilisent les amandes oléagineuses pour fabriquer de l'huile et du beurre utilisés pour la cuisson et à des fins cosmétiques. Elles vendent également les produits tirés de la noix de karité sur les marchés locaux. Depuis récemment, des fabricants internationaux de produits cosmétiques utilisent le beurre de karité pour ses vertus et qualités, ce qui pourrait être une cance pour les femmes de l'Afrique de l'Ouest d'obtenir un meilleur prix pour leurs produits à base de karité. Pour cela, elles devront cependant améliorer la qualité du beurre et leurs méthodes de commercialisation.;Klaus Sieg;;DLG-Verlag;Rural21;2010/06;Français;"women; farmers; farming systems; agriculture; agricultural land management";;Land & Gender;Journal Articles & Books;Eastern Africa;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/plate-forme-internationale/lor-des-femmes/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_64-65_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
17;Acquisitions foncières, Innovations pour les pauvres, Jeunes ruraux;Rural21-Vol:17-Nr:2/2010-Article:17;Jeu d'attrape avec les vaccins essentiels;« Pas de bétail - pas de Masaï - pas de vaccins contre la fièvre de la Côte orientale - pas de bétail. » ? C'était là le message fort lancé avec GALVmed lors de la rencontre de l'ONG basée à Edinburgh avec plus de vingt-cinq pasteurs Masaï et petits éleveurs de bétail laitier à Arusha, dans le nord de la Tanzanie, au printemps 2009. L'article décrit l'énorme importance que les vaccins revêtent pour les petits éleveurs de bétail et les difficultés qui sont liées à la mise au point et à la fourniture de ces vaccins.;Stuart Brown;;DLG-Verlag;Rural21;2010/06;Français;"development agencies; sustainable development";;;Journal Articles & Books;Tanzania;http://www.rural21.com/francais/archive-2005-2011/archive2010-01fr/monde-scientifique/jeu-dattrape-avec-les-vaccins-essentiels/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_66-67_1-2010_01.pdf;private://feeds/Rural21_2010-02_fr.jpg;All rights reserved;1866-0002
1;Directives Volontaires sur le Droit à l'Alimentation;Rural21-Vol:13-Nr:2/2006-Article:1;Le droit à l'alimentation. Adoption d'un nouvel instrument juridique;"

En novembre 2004, au bout de deux années de mise au point, le Conseil de la FAO a adopté les Directives volontaires relatives au droit à l'alimentation qui sont, dans les faits, un instrument juridique nouveau pour
défendre et faire appliquer le droit à l'alimentation. Le présent article tente de répondre aux questions suivantes: quelles réalisations cet instrument pourra-t-il créer? L'effort pour la mise au point de ces Directives valait-il la peine d'être consenti? Et, pour terminer, la mise en oeuvre de la nouvelle approche aux droits de l'homme pourra-t-elle contribuer à la réduction du nombre de ceux qui ont faim
";Michael Windfuhr;FIAN International;DLG-Verlag;Rural21;2006/06;Français;"development agencies; food security; land policies; rural development";"Land Use, Management & Investment; Land Policy & Legislation";"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2006-02fr/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Le_droit_a_l_alimentation_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved;1866-0002
2;Directives Volontaires sur le Droit à l'Alimentation;Rural21-Vol:13-Nr:2/2006-Article:2;Les négociations complexes relatives au droit humain à l'alimentation;"« La naissance d'un zèbre »
En automne 2004, les négociations relatives aux Directives volontaires à l'appui de la concrétisation du droit à une alimentation adéquate ont été conclues avec succès sous les auspices de la FAO. Ces directives ont été signées par l'ensemble des 190 pays membres de la FAO. La voie des négociations avait pourtant été semée d'écueils, de nombreux États ayant d'abord refusé de signer par peur du caractère contraignant des directives. Il a malgré tout été possible d'adopter ces dernières en un temps relativement court. Les parties aux négociations ont réussi à trouver un compromis acceptable pour tous.";Andreas von Brandt,MA, LLM;;DLG-Verlag;Rural21;2006/06;Français;"development agencies; sustainable development; food security";;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2006-02fr/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_La_naissance_d_un_zebre_0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved;1866-0002
3;Directives Volontaires sur le Droit à l'Alimentation;Rural21-Vol:13-Nr:2/2006-Article:3;Directives volontaires sur le droit à l'alimentation;"Pour une approche des « droits humains »
Les Directives volontaires sur le droit humain à l'alimentation constituent un nouvel instrument de lutte contre la faim dans le cadre du droit international. Elles se révèlent être une arme nouvelle et prometteuse contre la sous-alimentation. Grâce à elles, la politique du développement et les droits de l'Homme s'allient dans la lutte pour le droit à l'alimentation. L'« approche des droits humains » est devenue le nouveau mot d'ordre dans le combat contre la faim.";Sven Söllner;;DLG-Verlag;Rural21;2006/06;Français;"development agencies; sustainable development; food security";;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2006-02fr/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Directives_volontaires..._0206.pdf;private://feeds/Rural21_2006-02_en.jpg;All rights reserved;1866-0002
