Link to the original website;ID;Title;Publicaton date (YYYY/MM);Thumbnail;Authors;Abstract/Description;Link to the publication;Publishers;Geographical focus;Language;Resource types;Open Access;Related Concepts;Themes;Overarching Categories
http://salandobservatory.org/2008/02/land-reform-and-development-evaluating-south-africas-restitution-and-redistribution-programmes-agecon/;salo:4137;Land Reform and Development: Evaluating South Africa’s Restitution and Redistribution Programmes;01/02/2008;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/05/Ward.jpg;Ward Anseeuw & Ntombifuthi Mathebula;"At the first conference on land redistribution in South Africa, held in Johannesburg in 1993, Cyril Ramaphosa, the then secretary general of the ANC, noted that South Africa is not unique in its unequal land distribution but rather in the policy measures that have led to this situation (ANC, 1993). In contrast to most other countries with unequal land distribution, South Africa has a history of specific racial policies with clear implications for land distribution and ownership. This heritage of inequality was formalised with the implementation of the two Natives Land Acts of 1913 and 1936. The first act gave only 8% and the second only 13% of South Africa’s territory to non-whites, who at the time represented about 90% of the country’s population. This legislation further confined the coloured population to reserves and the black population to bantustans, where land tenure was insecure and farming practices
mainly communal. Other measures restricted land tenancy or sharecropping possibilities for black and coloured populations living on land owned by white farmers, which in effect suffocated the (commercial) farming activities of these nonwhite farmers and prompted an exodus to the reserves and bantustans. The result of these policies was the acquisition of land by whites and the elimination of the black peasantry, who then provided cheap adult male labour for the commercial farming, industry and mining sectors (Van Onselen, 1996)…” ";http://ageconsearch.umn.edu/handle/108281;AgEcon Search;ZAF;en;Reports & Research;Yes ;"land distribution;development;land reform;sustainable development;land administration;land policies";Socio-Economic & Institutional Context;Land Policy & Legislation
http://salandobservatory.org/2016/05/expropriation-bill-b4d-2015-adoption-with-deputy-minister-present-government-debt-owed-to-municipalities-payment-progress-report-by-dpw-pmg/;salo:4553;"Expropriation Bill [B4D-2015]: adoption, with Deputy Minister present; Government debt owed to municipalities: payment progress report by DPW";24/05/2016;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/06/pmg1.jpg;Mr B Martins;The Committee met to deal with the two proposed amendments that had been made by the National Council of Provinces (NCOP) on the Expropriation Bill [B4B-2015]. The first amendment aimed to increase the number of days in which the municipal manager must inform the expropriating authority, in writing, of charges from 20 days to 30 days, if land which had been expropriated is subject to municipal rates. The second amendment sought to increase the number of days from 10 to 20 whereby the expropriating authority may utilise as much of the compensation money in question as is necessary for the payment, if the said amount is not disputed in writing by the expropriated owner or expropriated holder. The Committee Members had unanimously accepted and adopted the amendments to the Bill. The objection of the Democratic Alliance and the United Democratic Movement to the Bill was noted by the Committee. The Committee would table the report before the National Assembly for consideration;https://pmg.org.za/committee-meeting/22596/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"expropriation;land dispute;farmers;property;property law;public ownership";Land Conflicts;Land Policy & Legislation
http://salandobservatory.org/2016/05/financial-compensation-policy-rural-development-and-land-reform/;salo:4948;Financial Compensation Policy;17/05/2016;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b33-e1470764861312.jpg;;Policy Statemen the amount f compensation to be paid to a Claimant (that has opted for restitution in the form of financial compensation) that is entitled to restitution shall be determined in accordance with this policy, read the Restitution Act. This policy replaces prior policies on the determination of financial compensation.;http://www.ruraldevelopment.gov.za/legislation-and-policies/file/4450;Ministry of Rural Development and Land Reform - Republic of South Africa;ZAF;en;Legislation & Policies;Yes ;"compensation;property";;
http://salandobservatory.org/2013/08/recapitalization-and-development-programme-policy-rural-development-and-land-reform/;salo:4951;Recapitalization and Development Programme Policy;01/08/2013;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b34-e1470765266159.jpg;;Reversing the legacy of the 1913 Natives Land Act. The root of the land question today arises out of the pervasive process of land alienation that dispossessed the majority of South Africans of their land over the past few centuries. 2013 is the centenary f the 1913 Natives Land Act, which was the first of number of discriminatory laws that reinforced the massive dispossession of land from black South AFricans;http://www.ruraldevelopment.gov.za/legislation-and-policies/file/2053;Ministry of Rural Development and Land Reform - Republic of South Africa;ZAF;en;Legislation & Policies;Yes ;"development;land reform;agriculture;rural development;forestry;reforms;land acquisitions;fisheries";Forest Tenure;Land Use, Management & Investment
http://salandobservatory.org/1994/11/restitution-of-land-rights-act-22-of-1994-the-land-claims-court-of-south-africa/;salo:4987;Restitution of Land Rights Act 22 of 1994 - The Land Claims Court of South Africa;17/11/1994;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b42.jpg;;"To provide for the restitution of rights in land to persons or communities dispossessed of such rights after 19 June 1913 as a result of past racially discriminatory laws or practices; to establish a Commission on Restitution of Land
Rights and a Land Claims Court; and to provide for matters connected therewith.
[Long title substituted by s. 31 of Act 63/97]
WHEREAS the Constitution of the Republic of South Africa, 1996 (Act No. 108 of 1996), provides for restitution of property or equitable redress to a person or community dispossessed of property after 19 June 1913 as a result of past racially discriminatory laws or practices…”";http://www.justice.gov.za/lcc/docs/1994-022.pdf;The Land Claims Court of South Africa;ZAF;en;Legislation & Policies;Yes ;"land rights;land law;property;public ownership;land ownership;leases;occupation";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2013/05/restitution-of-land-rights-amendment-bill-2013-department-of-justice-and-constitutionl-development/;salo:4958;Restitution of Land Rights Amendment Bill, 2013;23/05/2013;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2013/05/b36-e1470765607229.jpg;;"To amend the Restitution of Land Rights Act, 1994, so as to amend the cut-off date for lodging a claim for restitution; to further regulate the appointment, tenure of office, remuneration and the terms and conditions of service of judges of the Land Claims Court; to make further provision for the advertisement of claims; to provide that the lodging of fraudulent claim shall be an offence; t provide for additional factors which must be considered by the Court when considering whether to order restoratio; to extend the Ministers powers of delegation; and to provide for matters connected therewith";http://www.justice.gov.za/lcc/docs/2013-gg36477-restitution-amendment-bill.pdf;Department of Justice and Constitutional Development (South Africa);ZAF;en;Legislation & Policies;Yes ;"land rights;land policies;land;research";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/1996/05/communal-property-associations-act-the-land-claims-court-of-south-africa/;salo:4962;Communal Property Associations Act;15/05/1996;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b37-e1470765834217.jpg;;"To enable communities to form juristic persons, to be known as communal property associations in order to acquire, hold and manage property on a basis agreed to by members of a community in terms of a written constitution; and to provide for matters connected therewith. (English text signed by the President.)";http://www.justice.gov.za/lcc/docs/1996-028.pdf;The Land Claims Court of South Africa;ZAF;en;Legislation & Policies;Yes ;"land policies;land reform;rural development;communal ownership;community land rights;land ownership";Indigenous & Community Land Rights;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/1997/11/extension-of-security-of-tenure-act-1998-the-land-claims-court-of-south-africa/;salo:4968;Extension of security of tenure (land) Act, 1997;28/11/1997;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b38-e1470765766874.jpg;;"To provide for measures with State assistance to facilitate long-term security of land tenure; to regulate the conditions of residence on certain land; to regulate the conditions on and circumstances under which the right of persons to reside on land may be terminated; and to regulate the conditions and circumstances under which
persons, whose right of residence has been terminated, may be evicted from land; and to provide for matters connected therewith…”";http://www.justice.gov.za/lcc/docs/1997-062.pdf;The Land Claims Court of South Africa;ZAF;en;Legislation & Policies;Yes ;"security of tenure (land);land tenure;land ownership;land;occupation;eviction;land rent;landowners;land law;expropriation";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/1996/03/land-reform-labour-tenants-act-1996-the-land-claims-court-o-south-africa/;salo:4974;Land Reform (Labour Tenants) Act, 1996;22/03/1996;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b39.jpg;;"To provide for security of tenure (land) of labour tenants and those persons occupying or using land as a result of their association with labour tenants; to provide for the acquisition of land and rights in land by labour tenants; and to provide for matters connected therewith. WHEREAS the present institution of labour tenancy in South Africa is the result of racially discriminatory laws and practices which have led to the systematic breach of human rights and denial of access to land";http://www.justice.gov.za/lcc/docs/1996-003.pdf;The Land Claims Court of South Africa;ZAF;en;Legislation & Policies;Yes ;"land reform;tenants;occupation;security of tenure (land);land acquisitions;land rights;land law;land policies;land ownership;land use;eviction";;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/1996/11/land-restitution-and-reform-laws-amendment-act-the-land-claims-court-of-south-africa/;salo:4979;Land Restitution and Reform Laws Amendment Act, 1996;20/11/1996;https://i2.wp.com/salandobservatory.org/wp-content/uploads/1996/11/b41.jpg;;"To amend the Restitution of Land Rights Act, 1994, so as to insert certain definitions; to effect certain textual improvements; to provide that no person shall be entitled to enforce restitution of a right in land dispossessed if just and equitable compensation was paid; to provide for the appointment of certain organisations to advise the Commission on Restitution of Land Rights, to facilitate meetings of interested parties and to mediate and settle disputes; to require the leave of the Land Claims Court for the lodging of a claim in respect of land in certain circumstances; to alter the powers and duties of a regional land claims commissioner; to prohibit a person from selling, exchanging, donating, leasing, subdividing or rezoning land in respect";http://www.justice.gov.za/lcc/docs/1996-078.pdf;The Land Claims Court of South Africa;ZAF;en;Legislation & Policies;Yes ;"land reform;land law;land policies;land;land rights;zoning;land administration;leases";;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/1994/11/restitution-of-land-rights-act-22-of-1994-department-of-justice-and-constitutional-development/;salo:4954;Restitution of Land Rights Act 22 of 1994;14/11/1994;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b35-e1470766019131.jpg;;"To provide for the restitution of rights in land to persons or communities dispossessed of such rights after 19 June 1913 as a result of past racially discriminatory laws or practices; to establish a Commission on Restitution of Land
Rights and a Land Claims Court; and to provide for matters connected therewith.";http://www.justice.gov.za/legislation/rules/lcc-rules.pdf;Department of Justice and Constitutional Development (South Africa);ZAF;en;Legislation & Policies;Yes ;"land rights;land;occupation;trust;title deed;security of tenure (land);tenure regularization;land tenure;land reform;tenants;legal empowerment";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/1994/11/restitution-of-land-rights-amendment-act-48-of-2003-the-land-claims-court-of-south-africa/;salo:4992;Restitution of Land Rights Amendment Act 48 of 2003;17/11/1994;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b43-1.jpg;;"To amend the Restitution of Land Rights Act, 1994, so as to empower the Minister of Land Affairs to purchase, acquire in any other manner or expropriate land, a portion of land or a right in land for the purpose of the restoration or award of such land, portion of land or right in land to a claimant or for any other related land
reform purpose; and to provide for matters connected therewith";http://www.justice.gov.za/lcc/docs/2003-048.pdf;The Land Claims Court of South Africa;ZAF;en;Legislation & Policies;Yes ;"land rights;land;legal empowerment;expropriation;land diversion;reforms";;Access to Land & Tenure Security
http://salandobservatory.org/1975/07/expropriation-act-no-63-of-1975-southern-african-legal-information-institutte/;salo:5002;Expropriation Act NO.63 of 1975;09/07/1975;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b46.jpg;;"To provide for the expropriation of land and other property for public and certain other purposes; and to provide for matters connected therewith.
1. Definitions.-In this Act, unless the context otherwise indicates-
“compensation court”
[Definition of “compensation court” deleted by s, 1 (0) of Act No. 45 of 1992.]";http://extwprlegs1.fao.org/docs/pdf/saf9927.pdf;South African Legal Information Institute;ZAF;en;Legislation & Policies;Yes ;expropriation;;
http://salandobservatory.org/1991/07/upgrading-of-land-tenure-rights-amendment-act-1991-south-african-government/;salo:5013;Upgrading of Land Tenure Rights Amendment Act, 1991;05/07/1991;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b47.jpg;;"To provide for the upgrading and conversion into ownership of certain rights granted in respect land; for the transfer of tribal land in full ownership to tribes; and for matters connected therewith.
(Afrikaans text signed by the State President.)
(Assented to 27 June 1991.)
BE IT ENACTED by the State President and the Parliament of the Republic of South Africa, as follows:";https://www.gov.za/sites/default/files/a112_1991.pdf;Government of South Africa;ZAF;en;Legislation & Policies;Yes ;"land tenure;land rights;indigenous peoples;land;land ownership;land titling;title deed;communal ownership;communal territory;urbanization;land use;land transfers;security of tenure (land);compensation;property;legal empowerment;environment;territory;occupation";"Urban Tenure;Land, Climate change & Environment;Indigenous & Community Land Rights";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2011/05/rural-development-and-land-reform-general-amendment-act-2011-south-african-government/;salo:5017;Rural Development and Land Reform General Amendment Act, 2011;11/05/2011;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b48.jpg;;"To amend various laws under the administration of the Minister of Rural Development and Land Reform, so as to substitute certain obsolete definitions to ensure legal certainty; to effect certain consequential amendments in this regard; and to provide for matters connected therewith. BE IT ENACTED by the Parliament of the Republic of South Africa";https://www.gov.za/sites/default/files/a4_2011.pdf;Government of South Africa;ZAF;en;Legislation & Policies;Yes ;"rural development;land reform;reforms;land policies;land rights;research;land administration;tenants;land ownership;property;property law;surveyors;security of tenure (land)";Land Stakeholders & Institutions;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/1993/06/provision-of-certain-land-for-settlement-act1993-south-african-government/;salo:5021;Provision of Certain Land for Settlement Act, 1993;23/06/1993;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b49.jpg;;"To provide for the designation of certain land; to regulate the subdivision of such land and the settlement of persons thereon;_andto provide for matters connected therewith";https://www.gov.za/sites/default/files/Act126of1993.pdf;Government of South Africa;ZAF;en;Legislation & Policies;Yes ;"land;land policies;land administration;land acquisitions;territory";;Land Policy & Legislation
http://salandobservatory.org/1996/06/interim-protection-of-informal-land-rights-act-1996-south-african-government/;salo:5026;Interim Protection of Informal Land Rights Act, 1996;23/06/1996;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b50.jpg;;"To provide for the temporary protection of certain rights to and interests in land which are not otherwise adequately protected by law; and to provide for matters connected therewith";https://www.gov.za/sites/default/files/Act31of1996.pdf;Government of South Africa;ZAF;en;Legislation & Policies;Yes ;"land rights;land law;development;occupation;tenants;environment;informal property;title deed";Land, Climate change & Environment;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/1994/07/communal-land-rights-act-south-african-government/;salo:5030;Communal Land Rights Act;20/07/1994;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b51.jpg;;"To provide for the temporary protection of certain rights to and interests in land which are not otherwise adequately protected by law; and to provide for matters connected therewith";https://www.gov.za/sites/default/files/a11-04_1.pdf;Government of South Africa;ZAF;en;Legislation & Policies;Yes ;"communal territory;land;land rights;security of tenure (land);land transfers;land diversion;land registration;tenure regularization;legal empowerment;trust;land;community land rights;title deed;surveyors;land acquisitions";"Land Stakeholders & Institutions;Indigenous & Community Land Rights";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2016/08/working-paper-39-understanding-south-african-food-and-agricultural-policy-implications-for-agri-food-value-chains-regulation-and-formal-and-informal-livelihoods-plaas/;salo:5104;Working Paper 39: Understanding South African food and agricultural policy – Implications for agri-food value chains, regulation, and formal and informal livelihoods;16/08/2016;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2016/08/a2.jpg;Scott Drimie;In order to create credibility and sustainability between policies, to avoid political confusion and to reassure “investor confidence”, a clear agri-food policy package needs to be in place. To achieve this, policy packages should be constructed to give coherence, with an explicit goal and set of objectives, underscoring accountability to delivery. Considering current policy debates, the questions pursued in this paper are: does a clear vision guide existing and emerging agriculture and food policies and are a clear set of measures defined to achieve this vision? By analysing several relevant policies, the paper argues that South African food and agricultural policy profoundly lacks coherence;http://www.plaas.org.za/plaas-publication/wp39-foodagripolicy-drimie;Institute for Poverty, Land and Agrarian Studies;ZAF;en;Policy Papers & Briefs;Yes ;"agriculture;food security";Land & Food Security;
http://salandobservatory.org/2015/03/south-africas-land-reform-what-does-the-future-hold-plaas/;salo:5141;South Africa’s land reform: what does the future hold?;31/03/2015;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b57.jpg;Ruth Hall;What does the future hold for South Africa’s confused, conflictual and stagnant land reform process? Can it be turned around and make a real contribution to changing our economy and society? Or will it be hijacked by narrow self-interest, or stymied by state incapacity? These are just a few of many different possible storylines about potential 'futures' for land reform that were discussed by about 80 participants ina meeting to kickstart a scenario planning process for South Africa's land reform,at the Gordon Institute for Business Science (GIBS) in Johannesburg yesterday;http://www.plaas.org.za/blog/south-africa%E2%80%99s-land-reform-what-does-future-hold;Institute for Poverty, Land and Agrarian Studies;ZAF;en;Reports & Research;Yes ;"land reform;land rights";;Access to Land & Tenure Security
http://salandobservatory.org/2007/06/land-reform-and-poverty-in-south-africa-plaas/;salo:5145;Land Reform and Poverty in South Africa;18/06/2007;private://feeds/SALO-thumbnail.png;Edward Lahiff;The extent of land dispossession of the indigenous population in South Africa, by Dutch and British settlers, was greater than any other country in Africa, and persisted for an exceptionally long time. European settlement began around the  Cape of Good Hope in the 1650s and progressed northwards and eastwards over a period of three hundred years. By the twentieth century, most of the county, including most of the best agricultural land, was reserved for the minority white settler population, with the African majority confined to just 13% of the territory, the ‘native reserves’, later known as African Homelands or Bantustans (Thomson 1995: 109). Demands for racial equality were violently resisted by the white-minority government up to 1990, with the result that South Africa made the transition to democratic, non-racial government only in 1994 ;http://www.plaas.org.za/plaas-publication/lalrwp14-landreform-poverty;Institute for Poverty, Land and Agrarian Studies;ZAF;en;Policy Papers & Briefs;Yes ;"land reform;poverty;land acquisitions;farming systems";;Land Use, Management & Investment
http://salandobservatory.org/2007/01/redistributive-land-reform-and-poverty-reduction-in-south-africa-plaas/;salo:5149;Redistributive land reform and poverty reduction in South Africa;01/01/2007;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b59.jpg;Edward Lahiff;"At the end of Apartheid, approximately 82 million hectares of commercial farmland (86% of total agricultural land, or 68% of the total surface area) was in the hands of the white minority (10.9% of the population), and concentrated in the hands of approximately 60,000 owners (Levin and Weiner 1991: 92). Over thirteen million black people, the majority of them poverty-stricken, remained crowded into the former homelands, where rights to land were generally unclear or contested and the system of land administration was in disarray (Hendricks 1990; Cousins 1996; Lahiff 2000). These areas were characterised by extremely low per capita incomes and high rates of infant mortality, malnutrition and illiteracy relative to the rest of the country. On privately-owned (white) farms, millions of workers and their families faced tenure insecurity and lack of basic facilities. Today, South Africa has one of the most unequal distributions of income in the world, and income and quality of life are strongly correlated with race, location and gender (May 2000: 2)";http://www.plaas.org.za/plaas-publication/lalrwp-landredistribution-poverty;Institute for Poverty, Land and Agrarian Studies;ZAF;en;Policy Papers & Briefs;Yes ;"land reform;poverty;land acquisitions;farming systems;land law";;"Land Policy & Legislation;Land Use, Management & Investment"
http://salandobservatory.org/1970/10/subdivision-of-agricultural-land-act-1970-south-african-government/;salo:5154;Subdivision of Agricultural Land Act, 1970;09/10/1970;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b60.jpg;;"BE IT ENACTED by the State President, the Senate and the House of Assembly of the Republic of South Africa, as follows:-
1. In this Act, unless the context otherwise indicates(i) “agricultural land” means any land, except-
(a) land situated in the area of jurisdiction of a municipaL council, city council, town . council, village council, village management council, local board, health board or health committee, and land forming part of, in the province of the Cape of Good Hope, a local area established under section 6 (I) (i) of the Divisional Councils Ordinance, 1952 (Ordinance No. 15 of 1952 of that province}, and, in the province of Natal, a public health area as defined in section 1 of the Local Health Commission (Public Health Areas Control Ordinance, 1941 (Ordinance No. 20 of 1941 of the last-mentioned province), and, in the province of the Transvaal, a local area Committee established under section 21 (1) of the Transvaal Board for the Development of Peri-Urban Areas Ordinance, 1943 (Ordinance No. 20 of 1943 of the Transvaal)";https://www.gov.za/sites/default/files/Act%2070%20of%201970.pdf;Government of South Africa;ZAF;en;Legislation & Policies;Yes ;"agricultural land management;agricultural landscape;agriculture;reforms;land reform;zoning";;Land Use, Management & Investment
http://salandobservatory.org/1937/05/deeds-registries-act-47-of-1937-south-african-government/;salo:5161;Deeds Registries Act 47 of 1937;26/05/1937;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b61.jpg;;To consolidate and amend the laws in force in the Union relating to the registration of deeds…1. (I) There shall be deeds registries at Cape Town, Kingwilliamstown, Kimberley, Vryburg, Pietermaritzburg, Pretoria and Bloemfontein, each to serve its respective area as defined in the Second Schedule to this Act. The Rand townships registration office at Johannesburg, shall also be a deeds registry, but only in connection with the registration of documents relating to immovable property in any township in the area served thereby as defined in the said Schedule.;https://www.gov.za/sites/default/files/Act47of1937.pdf;Government of South Africa;ZAF;en;Legislation & Policies;Yes ;"land titling;title deed;leases;land loans;land law;land registration;land rights";;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2013/12/deeds-registries-amendment-act-2013-south-african-government/;salo:5165;Deeds Registries Amendment Act, 2013;18/12/2013;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2016/08/b62.jpg;;"To amend the Deeds Registries Act, 1937, so as to provide discretion in respect of the rectification of errors in the name of a person or the description of property mentioned in deeds and other documents; to provide for the issuing of certificates of registered title taking the place of deeds that have become incomplete or unserviceable; to substitute an obsolete reference; to substitute an outdated heading; to delete reference to the repealed Agricultural Credit Act, 1966; to further regulate the updating of deeds in respect of the change of names of companies, close corporations and the surnames of persons; to amen a definition; and to provide for matters connected therewith";https://www.gov.za/sites/default/files/37173_gon1022.pdf;Government of South Africa;ZAF;en;Legislation & Policies;Yes ;"title deed;land titling;land transfers;land deals;mining";Land & Investments;Land Use, Management & Investment
http://salandobservatory.org/2016/08/drdlr-on-its-4th-quarter-201516-performance-restitution-of-land-rights-amendment-act-constitutional-judgement-legal-opinion-pmg/;salo:5218;"DRDLR on its 4th quarter 2015/16 performance; Restitution of Land Rights Amendment Act Constitutional judgement: legal opinion";24/08/2016;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2016/08/c2.jpg;Ms P Ngwenya-Mabila;The Department achieved 56% of Q4 targets and 50% of Annual Performance Report targets in its Administration programme while annual targets on vacancies filled and disciplinary cases were partially achieved. In Geospatial and Cadastral Services, the Department achieved 77% of its Q4 targets and 69% of its APR targets. The Rural Development programme achieved 71% of its Q4 targets and 86% of its APR targets. The annual target for establishment of rural information desks was not achieved and the target of jobs created was partially achieved. The Restitution programme achieved 100% of its Q4 and APR targets. The Land Reform programme achieved 55% its Q4 targets and 64% of its APR targets. While the Department’s annual target of land acquired was partially achieved, land under RECAP allocated to smallholder farmers was not achieved. The Land Tenure and Administration (LTA) programme achieved 60% for both its Q4 targets and APR targets. In summary, the DRDLR achieved 68% of its Q4 targets and 71% at APR;https://pmg.org.za/committee-meeting/23131/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land acquisitions;land administration;cadastral administration;land tenure;rural development;deed";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2016/09/communal-property-associations-performance-constitutional-court-judgment-implications-for-commission-on-restitution-of-land-rights-with-deputy-minister-pmg/;salo:5313;"Communal Property Associations performance; Constitutional Court judgment: implications for Commission on Restitution of Land Rights; with Deputy Minister";07/09/2016;https://i1.wp.com/salandobservatory.org/wp-content/uploads/2016/09/c5-2.jpg;Ms P Ngwenya-Mabila;The Committee was briefed by the Department of Rural Development and Land Reform (DRDLR) on the performance of Communal Property Associations for March to December 2015. In all, 1 483 Communal Property Associations (CPAs) had been registered since the passing of the Act and 48 were registered in the 2015/16 financial year. The CPAs had been afflicted by a number of problems and the Department had taken steps to address them by the establishment of CPA District Fora to serve as a platform to share experiences. 138 CPAs received training and the scope of the Land Reform Management Facility had been extended to include support and regularisation. Three CPAs were placed under administration for gross dysfunctionality, lack of accountability and misuse of finances. 125 CPAs had been supported towards compliance for the year 2015/16. The challenges that led to the loss of land were disputes amongst community members, sales concluded without proper consultation or without the knowledge of community members. Land validly sold must be deregistered. There were 18 provisional CPAs and processes were under way to turn them into permanent ones;https://pmg.org.za/committee-meeting/23228/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land reform;land dispute;willing seller";Land Conflicts;
http://salandobservatory.org/2016/11/extension-of-security-of-tenure-amendment-bill-stakeholders-consultative-meeting-with-deputy-minister-of-labour-pmg/;salo:5760;Extension of security of tenure (land) Amendment Bill: stakeholders’ consultative meeting, with Deputy Minister of Labour;16/11/2016;https://i0.wp.com/salandobservatory.org/wp-content/uploads/2016/11/f6-1.jpg;Ms P Ngwenya-Mabila (ANC);SALGA supports the amendments on tenure grants although it proposed that the provision of bulk services for alternative land and the delivery of municipal services should also be included in the tenure grant. SALGA supports the amendments as it affects limitations on evictions and additional rights to occupiers. The amendments on the establishment of a land rights management board and land rights management committees are also supported by SALGA. The submission discussed the challenges of evictions and the impacts of this on municipalities in detail. SALGA said that the process of eviction, including the safeguard of the evictees’ possessions, need to be covered either in the Act or in regulations. SALGA also spoke about the incorrect conflation of the Extension of security of tenure (land) Act (ESTA) with the Prevention of Illegal Eviction from and Unlawful Occupation of Land (PIE) Act in court rulings when dealing with urban areas where land is zoned “Agriculture”;https://pmg.org.za/committee-meeting/23687/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"tenure regularization;land management;eviction;research;right of access;occupation";;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2017/01/effects-of-land-use-change-on-streamflow-and-stream-water-quality-of-a-coastal-catchment-ajol/;salo:6514;Effects of land use change on streamflow and stream water quality of a coastal catchment;05/01/2017;private://feeds/SALO-thumbnail.png;CR Petersen, NZ Jovanovic, DC Le Maitre and MC Grenfell;"This study aimed to link land cover/use change to water quality in an important water supply coastal catchment. The approach followed a spatial and temporal analysis of historical catchment land use change to assess how changes influenced water quality and river flow in the Touws and Duiwe Rivers, southwestern Cape, South Africa. Each sub-catchment has unique characteristics which influence land use and water quality and the purpose was to analyse each one separately. Historical water quality and flow analysis were based on the records available (Duiwe River: 1998–2013; Touws River: 1980–2013) together with rainfall data";http://www.ajol.info/index.php/wsa/article/view/150836;African Journals Online;ZAF;en;Reports & Research;Yes ;"land cover;land use;coastal area;agriculture;land";;Land Use, Management & Investment
http://salandobservatory.org/2017/02/land-rights-what-people-want-ee-publishers/;salo:6592;Land rights: What people want;07/02/2017;http://www.ee.co.za/wp-content/uploads/2017/02/Fig-131-02-2017-Fig1-620x249.jpg;Chris Williams-Wynn;In South Africa, policies of separate development and restrictions placed on capital expenditure imposed on the lands occupied by the indigenous people during the colonial era prevented the state from implementing the cadastre in the communal areas of the country. The status quo persists to this day, which has resulted in a dual system that promoted investment in areas where private property rights were permitted, but relegated the traditional communities into poverty and disinvestment;http://www.ee.co.za/article/land-rights-people-want.html;EE Publishers;ZAF;en;Reports & Research;Yes ;"land policies;land use;land reform;communal territory;land investments;private ownership;rural population;local community;security of tenure (land)";"Land & Investments;Land Stakeholders & Institutions;Indigenous & Community Land Rights";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
